 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-21-04-684298-ae05936d49c6-1
trials-all-1  | [robot-6] [INFO] [1698531681.613607224] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.632102997] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531681.637277213] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531681.642265421] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.650082748] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531681.655662981] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698531681.662289258] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531681.663025289] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531681.681089043] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531681.682947121] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698531681.690834451] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.697416726] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.709709239] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.713688406] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.710337266] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531681.714357434] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531681.729325059] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.733677241] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531681.737924418] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531681.742944628] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531681.744824707] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.753737079] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531681.759531321] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531681.769686745] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.774355941] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.772965883] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531681.776489030] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531681.790156601] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531681.791904674] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531681.801371069] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531681.807609330] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531681.811697501] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698531681.807827339] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.811498493] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.834640460] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531681.838388616] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531681.844642878] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531681.850862137] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.861264572] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.870813971] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.875052148] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.877123235] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531681.891271826] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.894948980] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.891402831] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531681.895257992] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531681.899128154] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531681.905075403] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.908730555] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.921318081] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.927080322] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.931150492] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698531681.925869272] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.929447421] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.953137411] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.962911819] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.967414008] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531681.976215375] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.979864528] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.975730355] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531681.979274503] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531681.992768067] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531682.008494724] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531682.012674898] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531682.016165043] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531682.028889574] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531682.034165793] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531682.051435513] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531682.057603770] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531682.069416262] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531682.074539475] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531682.098268464] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531682.103334675] [coordinator]: The time of execution of above program is:1.9024336338043213
trials-all-1  | [coordinator-2] [INFO] [1698531682.124289548] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531682.129629770] [coordinator]: ENDSIM
trials-all-1 exited with code 0
