 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-41-08-306333-b703d598c7bc-1
trials-all-1  | [nurse-4] [INFO] [1698532886.053631513] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532886.060482429] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.051638537] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532886.075073250] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532886.079918191] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532886.083929142] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532886.090182066] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.106849862] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532886.115287759] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698532886.122092676] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532886.127691607] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532886.132423549] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532886.141062444] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.149669338] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.156510255] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.160786203] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.151792313] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532886.155872263] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532886.159522218] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532886.171466072] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532886.180745959] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.190755836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.194827786] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532886.212732568] [robot]: Action: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532886.196585765] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532886.201139709] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532886.205364658] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698532886.203285683] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.208114624] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.212059576] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.216666519] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532886.222667446] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532886.226692397] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532886.230145355] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.245800163] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.250821102] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532886.254956051] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532886.259830992] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.264846930] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532886.276930783] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532886.281451727] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532886.284992684] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698532886.293606579] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532886.297633530] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698532886.301112487] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.309559384] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.313832332] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532886.325848185] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698532886.329772137] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532886.333200095] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532886.326399178] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.330568127] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.341951988] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532886.346268935] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.342252984] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532886.346567931] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532886.358197789] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698532886.358267788] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.362636735] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532886.363592723] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532886.382944487] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698532886.390370396] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.394597344] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532886.393643356] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532886.397675307] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532886.408498174] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532886.412067131] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.418179056] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.422289006] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532886.423958985] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532886.430868901] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532886.443304749] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.450946655] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532886.451581648] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532886.460885534] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532886.465800474] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532886.477567330] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.485668231] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.489089189] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532886.492600146] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.504776997] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.510588926] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.522490781] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532886.530008689] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532886.531113675] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532886.534590633] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532886.544987506] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.549291453] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532886.549410452] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698532886.560361318] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532886.569925201] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532886.573554156] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532886.577512108] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.581723057] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.585491011] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532886.589725959] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532886.611039698] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532886.615091649] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532886.616752628] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532886.620807579] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.624805530] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532886.632727433] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698532886.633725421] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532886.639279353] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.643029307] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.652921186] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.656402144] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532886.659501106] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.666168024] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.670211975] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698532886.678428874] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698532886.681850833] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698532886.685811784] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532886.689703737] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532886.694438679] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532886.701588591] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.705400545] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532886.729654248] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532886.734940184] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532886.757381909] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698532886.766333800] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532886.771195740] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532886.775260691] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532886.789660515] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532886.802303360] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532886.807580295] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532886.833114983] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698532886.838324920] [coordinator]: The time of execution of above program is:2.519453287124634
trials-all-1  | [coordinator-2] [INFO] [1698532886.843837852] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698532886.870856522] [coordinator]: ENDSIM
trials-all-1 exited with code 0
