 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-22-44-165396-aea2c98f4279-1
trials-all-1  | [coordinator-2] [INFO] [1698531782.205324230] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698531782.208356340] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531782.213312520] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531782.219075729] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.219662751] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531782.224142913] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531782.225643968] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531782.228575074] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531782.233050237] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.239303464] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.244764662] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.247289754] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531782.251282899] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531782.257706133] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.261938286] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531782.261997288] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531782.276113801] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531782.281377992] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531782.282251024] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531782.287228205] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531782.293633438] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698531782.294089454] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531782.291909375] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.303380792] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.300737696] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.304724841] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531782.314247187] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.318295334] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.322806497] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531782.324879573] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.340517141] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531782.346731367] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.350301496] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531782.362014922] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.364081997] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698531782.368889171] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531782.370862243] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.372584306] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531782.378328514] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.383994720] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531782.389928936] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.391484992] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531782.396840187] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.398481246] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698531782.403265420] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.405380497] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.408478610] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531782.410238674] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.412355750] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.420341041] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.427021283] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531782.430037393] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698531782.435952608] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.439686743] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531782.434322548] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531782.444538920] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531782.443364877] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531782.450731145] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531782.447068011] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.459268455] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531782.461828548] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531782.475234035] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531782.480586229] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531782.481913277] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.498071864] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531782.503547063] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531782.515181486] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531782.520821691] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531782.526295890] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.527153921] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531782.533108137] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531782.531807090] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531782.534424185] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.538074317] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.546818635] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.552018824] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531782.553820889] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698531782.561837181] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531782.566010332] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531782.566214340] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.571860545] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.575379673] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.579848835] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531782.582813943] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.590583225] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.604319724] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.609416909] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531782.610089934] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698531782.613994075] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.615093115] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531782.618959256] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.627744575] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531782.636727901] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531782.636945909] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.650718409] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531782.655061567] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.656312613] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.659315722] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531782.660219755] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.664921925] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531782.677782393] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698531782.681503528] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.682346558] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531782.687220735] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.695519037] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531782.698501145] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531782.706063420] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698531782.707592475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.711615622] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531782.723276045] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.723506054] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.724187078] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531782.728387231] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.732728389] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531782.736404522] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531782.739974652] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.743477779] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.755640221] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531782.759578364] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531782.756084237] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.759521362] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.777403011] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531782.777764025] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698531782.784285261] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531782.787770388] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.785411302] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531782.789231441] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531782.786665348] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531782.806388064] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531782.808745150] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.811278242] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531782.815115381] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531782.816393428] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.827081816] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531782.829765914] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698531782.833635054] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.837222184] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.844173437] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531782.848208584] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531782.851641708] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531782.844994467] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.848879608] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531782.845846498] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531782.849640636] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.866096233] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531782.872680473] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531782.877124634] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531782.881196782] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531782.881911808] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.886275966] [arm]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.906574704] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.910341841] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531782.890096105] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698531782.893260220] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.896624342] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.904071613] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.907924753] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.911823895] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698531782.898595414] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.920791220] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.925454390] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.923144306] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531782.926940444] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.939648905] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531782.943042029] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.959398623] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531782.962460734] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.967556919] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531782.974707179] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531782.986202596] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531782.990680759] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531782.992112811] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531782.995617938] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531782.992430823] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531782.995722942] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531782.999713087] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531783.006663339] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531783.010844491] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531783.015453658] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531783.016834708] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531783.021251868] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531783.020604844] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531783.033344306] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531783.056233135] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531783.059646258] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531783.063599401] [coordinator]: The time of execution of above program is:2.429319381713867
trials-all-1  | [coordinator-2] [INFO] [1698531783.066988524] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531783.079040960] [coordinator]: ENDSIM
trials-all-1 exited with code 0
