 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-28-24-541385-6b40cc44147c-1
trials-all-1  | [nurse-4] [INFO] [1698535722.238823711] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.239112714] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535722.242377742] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698535722.244367759] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.244704762] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.251521821] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.258804884] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.269469977] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535722.274666022] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535722.281744083] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.282947094] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.293399184] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535722.295486202] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535722.291822170] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.295879206] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.299659238] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.307109303] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.314307365] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.323328443] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.327001475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.328716490] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535722.336994562] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535722.337131563] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.347597654] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.348451661] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535722.353150702] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535722.353386704] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535722.359413756] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.359627758] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535722.359999761] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535722.366854821] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698535722.367881829] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698535722.369312842] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.372930873] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535722.374784889] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698535722.377067909] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.387792002] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535722.390415025] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.393775054] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535722.398643096] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535722.399114100] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698535722.407623174] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.411468207] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.418100265] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535722.418095265] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.424273318] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.430311370] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.438567442] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535722.440150456] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.441964471] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698535722.446763513] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.450681547] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535722.447229517] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.447880523] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.456463597] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.460548632] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.456656599] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535722.460500632] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535722.458431614] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535722.462667651] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535722.466479684] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698535722.474722755] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.479170794] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.488502875] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535722.490144889] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.494122923] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.497661954] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535722.492082906] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535722.502554996] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.504437013] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535722.512888086] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.526627205] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.529405229] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535722.533270263] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535722.538111305] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535722.546124374] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535722.550131409] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.551175418] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535722.554379446] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.561631508] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.566828553] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.570834588] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535722.566730553] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535722.580477672] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698535722.578527655] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.582435689] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.590356757] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535722.594309792] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698535722.599463836] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.609021919] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.615011971] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.621165024] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.628744090] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.633565132] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.642366208] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.649488270] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.656808333] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.662932386] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535722.672023465] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698535722.676119500] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.682938559] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.690772627] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.694894663] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.700443711] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535722.706330762] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535722.707013768] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535722.711801810] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698535722.721760896] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.713581825] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.717800862] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.726743939] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.730959976] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.735909018] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.735711017] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535722.739913053] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535722.748709129] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698535722.755093185] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535722.758778217] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535722.764081263] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698535722.763305256] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.767113289] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.777220376] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.782949426] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.787109462] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.784812442] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535722.788002470] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535722.791836503] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.798369560] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.802085592] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535722.805640623] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698535722.812378681] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698535722.818994738] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.825297793] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535722.827407811] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535722.831219844] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535722.834023869] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698535722.848570995] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535722.851874023] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.841836936] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.842822945] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535722.846659978] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535722.851734022] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.855726057] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535722.852200026] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698535722.860949102] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535722.872395201] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535722.879419262] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698535722.886625324] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535722.891915370] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.895352400] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.890682360] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535722.894424392] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535722.905466488] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698535722.910318530] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535722.920902621] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.925079658] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.929074692] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535722.932825725] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535722.935996752] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.939344781] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535722.941142797] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535722.945697836] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698535722.945904838] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535722.961369972] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535722.964270997] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535722.974446085] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535722.976396102] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698535722.983796166] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.988230205] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535722.994735261] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535723.001940324] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535723.002807331] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.006359362] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.009866392] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698535723.013286422] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535723.007901375] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535723.015777443] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535723.019711477] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.028006548] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.032136584] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535723.029957565] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.043368681] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535723.051513751] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698535723.061286835] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698535723.061612838] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698535723.068155894] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535723.068995902] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535723.075404957] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.081090006] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535723.088552070] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535723.088931073] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535723.100890176] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535723.103393198] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535723.115033298] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535723.127440405] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698535723.138681502] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535723.143473543] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535723.147344577] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535723.151527613] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535723.160932694] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535723.172237791] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698535723.175697821] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535723.177152834] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [environment-3] [INFO] [1698535723.179941858] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535723.197075005] [coordinator]: The time of execution of above program is:2.4974868297576904
trials-all-1  | [coordinator-2] [INFO] [1698535723.205266076] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698535723.213396146] [coordinator]: ENDSIM
trials-all-1 exited with code 0
