 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-53-18-962162-b2c4388174ec-1
trials-all-1  | [robot-6] [INFO] [1698530016.141832804] [robot]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530016.143279821] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530016.146428857] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.151409914] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.151556916] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530016.158710998] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.168007106] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.169329121] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530016.173247166] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.175696194] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.185826311] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.190953370] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.194885416] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530016.201141488] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.204124522] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530016.210656598] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.212418618] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530016.218544689] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.228507803] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.234742875] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.232712852] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.237609908] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.241216950] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530016.251312066] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.259028155] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.260043167] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.260519173] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530016.264688221] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.265681232] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530016.272656313] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530016.276533357] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530016.274182330] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.275196342] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698530016.279042386] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530016.277985374] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698530016.280398402] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.286658474] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.290636520] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.292951547] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530016.297212596] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530016.298682613] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530016.304599681] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.314339793] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.316454818] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530016.321535876] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.324932915] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530016.332372001] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.340807099] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530016.342400117] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530016.346854168] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.349331197] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530016.353403244] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530016.355412267] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.358227299] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530016.359804318] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530016.363322358] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530016.366414394] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530016.372019459] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530016.373150472] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530016.377224519] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.380282554] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530016.387453637] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.388818652] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530016.391594684] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.393793710] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.394039712] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698530016.404418832] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.405966850] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530016.408952884] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.413617938] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530016.414358947] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.417981989] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530016.418687997] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.422226038] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698530016.422425040] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530016.426869091] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530016.435091186] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698530016.446511318] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530016.447642331] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.448681343] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530016.452257384] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.456060428] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530016.465335535] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530016.467538560] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.481135717] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.485794771] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.489358812] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530016.490054820] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.497054901] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530016.501650954] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.506408008] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.507567022] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698530016.517730139] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.518934153] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698530016.521971188] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.523148201] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530016.531244295] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530016.533270318] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698530016.536791359] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530016.540055396] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530016.540878406] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.546567472] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530016.550486517] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530016.551157524] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.560400631] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698530016.560931637] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530016.565518690] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.569866740] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530016.575836809] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698530016.576289814] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.585323919] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.589918972] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530016.593509013] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530016.597810063] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530016.604097135] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.612792235] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530016.617895294] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530016.622410346] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530016.624903375] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.631460451] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.636151505] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.647042630] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.651508682] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.656136735] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530016.662733811] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.666880859] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.663459820] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530016.664957837] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530016.673190932] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530016.675053953] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.679522005] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530016.678693995] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530016.679059000] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530016.679642006] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698530016.684310060] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.692027149] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.696149197] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530016.703141277] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530016.705455304] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530016.708944344] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530016.709249348] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.712999391] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.713404396] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.717836447] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698530016.719078461] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.722582501] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.729764584] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530016.731138600] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530016.731201601] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530016.736632664] [robot]: Deposit
trials-all-1  | [coordinator-2] [INFO] [1698530016.740160704] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698530016.742518731] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530016.748524801] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698530016.748515801] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530016.753664860] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.754110865] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530016.764427984] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530016.766864012] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530016.773389087] [nurse]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698530016.782080188] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530016.785454227] [nurse]: Doing a_open_door
trials-all-1  | [robot-6] [INFO] [1698530016.788015256] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530016.792346306] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530016.796407353] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.799863393] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530016.803784438] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530016.808901497] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698530016.808223489] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.817196593] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530016.821810646] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698530016.819249616] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530016.820629632] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530016.824822681] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530016.836082810] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.836584816] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530016.841733876] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530016.841919878] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698530016.848117949] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530016.851298986] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530016.856711048] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530016.857962063] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698530016.861085099] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.865784153] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698530016.868221181] [environment]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698530016.869962201] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698530016.874006248] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.879794315] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698530016.881496334] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530016.885147376] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530016.891488449] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530016.895786499] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530016.894587485] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.898974536] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698530016.906893627] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.921010790] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.926341851] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.930649901] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530016.938352990] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530016.951821145] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.961673259] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530016.972351382] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530016.987043551] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530016.996369659] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530017.001759721] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698530017.001832722] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.023431970] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.030529051] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530017.036605121] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.042338186] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.050533280] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530017.057352358] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530017.069928502] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698530017.079998618] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530017.082944651] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.090399737] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530017.193976923] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.219379214] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.224435272] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530017.234082382] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530017.244666503] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530017.251747584] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698530017.253968610] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530017.262118703] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530017.276124863] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698530017.283980953] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530017.292440050] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530017.299641133] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530017.308934239] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530017.310213254] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530017.313915296] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.319790363] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530017.325226426] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530017.328309461] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530017.348697694] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.359146814] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.365477887] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530017.367917915] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698530017.369623934] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.373886983] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.382888086] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530017.385225113] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530017.387210135] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530017.392684198] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530017.401628301] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.414617449] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530017.427406596] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530017.435160685] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530017.429177616] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530017.435499688] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530017.445745806] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530017.462483997] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.467413054] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530017.469122073] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530017.473949129] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698530017.484602251] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530017.489637308] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530017.494319362] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530017.509860540] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530017.514564594] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530017.514629595] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530017.520953667] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530017.524790711] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.537939862] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530017.542381912] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530017.546292957] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530017.547176967] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530017.554307049] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530017.563168150] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530017.563449154] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530017.569808226] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530017.578183322] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530017.582590373] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530017.589526452] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [arm-1] [INFO] [1698530017.602972606] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530017.611401703] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530017.621076814] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.625554865] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.634887972] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.640417035] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698530017.644922087] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530017.651592163] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.659216250] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530017.663757302] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698530017.673869418] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530017.678475471] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530017.683325526] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530017.687874578] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530017.695751669] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530017.714235880] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530017.718643931] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698530017.723445986] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530017.724265995] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698530017.728554044] [coordinator]: The time of execution of above program is:2.7812881469726562
trials-all-1  | [environment-3] [INFO] [1698530017.728842048] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530017.753555331] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698530017.757681378] [coordinator]: ENDSIM
trials-all-1  | [robot-6] [INFO] [1698530017.766571480] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530017.774332569] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530017.778942621] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530017.807458948] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530017.840696328] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530017.845644385] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530017.869709661] [coordinator]: plans_actions_current 12 of 11
trials-all-1  | [coordinator-2] [INFO] [1698530017.874495715] [coordinator]: The time of execution of above program is:2.9269325733184814
trials-all-1  | [coordinator-2] [INFO] [1698530017.878803765] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698530017.882856811] [coordinator]: ENDSIM
trials-all-1 exited with code 0
