 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-30-05-345289-c2a8ceac0ff3-1
trials-all-1  | [environment-3] [INFO] [1698532222.390656061] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698532222.403381288] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.407542362] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.419546577] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.424920673] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532222.428634739] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532222.433932833] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532222.444088015] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532222.447729080] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532222.446302054] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.449921119] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.468077443] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.472321519] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532222.474529558] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532222.478489629] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532222.486131765] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.490666846] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.503450074] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.513085246] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532222.515250285] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698532222.519262356] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.522942422] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.539014709] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532222.550845920] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532222.555541004] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532222.555518003] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.559955082] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.563812151] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532222.573794329] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698532222.580220444] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532222.585721542] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532222.592046655] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.603743864] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.607709935] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.616908099] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532222.623200211] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532222.635703434] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532222.638216479] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.639768507] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532222.651784721] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.655738792] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.665240961] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532222.666153978] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532222.669879044] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532222.670444054] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532222.674562128] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.679427214] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.693190460] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.697226532] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532222.705524680] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.709365749] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.714417839] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698532222.694777488] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698532222.705458679] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.710083762] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.713938830] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.718350909] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532222.733852186] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.737519251] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.727506072] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532222.737517251] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532222.741256318] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532222.745770398] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698532222.755306569] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.759089636] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.763120708] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698532222.766874775] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.756222585] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.766676772] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.776895954] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.780714022] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.778889989] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.793931258] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.797631324] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698532222.801743397] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.805545465] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532222.806615484] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532222.824680807] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532222.828476874] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532222.832524947] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532222.854873345] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698532222.865252531] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.872546661] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.876065724] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532222.890822987] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532222.914594411] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532222.918587482] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532222.922937560] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698532222.927344639] [coordinator]: The time of execution of above program is:1.9493329524993896
trials-all-1  | [coordinator-2] [INFO] [1698532222.949211029] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698532222.952540088] [coordinator]: ENDSIM
trials-all-1 exited with code 0
