 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-35-04-786638-967c52b70515-1
trials-all-1  | [robot-6] [INFO] [1698528922.788021160] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528922.789239177] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.794053244] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528922.798001298] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528922.808724447] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528922.811046479] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528922.814128522] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698528922.837160841] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.843103924] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528922.850439026] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528922.854527082] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528922.851539041] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.855183091] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.866256245] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.866934254] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528922.872204327] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.877870406] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.892633611] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698528922.894882642] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.901738737] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.910359857] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.914249911] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.921174007] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.910959865] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528922.924996060] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.936005212] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.942462302] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.954409468] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.958252521] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528922.961301563] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528922.969953683] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528922.976554775] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.980447829] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528922.988115935] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528922.995473037] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528923.002127130] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528923.004068156] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528923.010564246] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528923.013068281] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528923.020777387] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528923.022026404] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528923.028707496] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528923.032619550] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528923.036221600] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528923.025363450] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698528923.032012542] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528923.035468589] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528923.042905692] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528923.060415933] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528923.063601977] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528923.071580086] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528923.076039148] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528923.078572183] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528923.078808186] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528923.087565307] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528923.096260426] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528923.098714460] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528923.103822530] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528923.114484677] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698528923.120792764] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528923.125782833] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528923.131677914] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528923.144604092] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698528923.151188183] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528923.153083209] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528923.157115264] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528923.157443269] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528923.170409447] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528923.175803522] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698528923.184297638] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698528923.184606643] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528923.189297707] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528923.189980717] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528923.190144719] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528923.198841839] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528923.204832921] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528923.207414957] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528923.216611083] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698528923.227653235] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528923.233322314] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528923.241932432] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528923.248808527] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528923.253450591] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528923.258274657] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528923.258496660] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528923.269287809] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528923.274873886] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698528923.280850968] [coordinator]: The time of execution of above program is:1.8765192031860352
trials-all-1  | [coordinator-2] [INFO] [1698528923.285301029] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698528923.290260098] [coordinator]: ENDSIM
trials-all-1 exited with code 0
