 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-56-09-451920-bc4340349d33-1
trials-all-1  | [environment-3] [INFO] [1698530186.814170297] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530186.816675310] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.826848363] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.836542414] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530186.842626446] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.843105448] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530186.846747467] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530186.857705525] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530186.861614545] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530186.863132553] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530186.870270590] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.878936636] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.879321638] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698530186.884057662] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.888750687] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530186.893645713] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530186.902182757] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.906822781] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.913791818] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.917792839] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530186.926590885] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.929422900] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.938534947] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.941420962] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530186.943227972] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530186.948205998] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530186.956612042] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.960953064] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530186.967056096] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698530186.975199139] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.983599183] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.990048217] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698530187.000782273] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530187.003754288] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530187.006184301] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530187.009276317] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530187.021245378] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530187.026756407] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530187.030651427] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698530187.038604468] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530187.046418508] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530187.063560597] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530187.069227626] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530187.080516684] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530187.085596711] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530187.107568824] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698530187.113141853] [coordinator]: The time of execution of above program is:1.9685490131378174
trials-all-1  | [coordinator-2] [INFO] [1698530187.118562881] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698530187.142788006] [coordinator]: ENDSIM
trials-all-1 exited with code 0
