 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-48-04-334236-616f893efcdb-1
trials-all-1  | [environment-3] [INFO] [1698540501.255815827] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.257140841] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.263239904] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.271968994] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540501.277127048] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540501.277591052] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.285609135] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540501.284933128] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540501.290141182] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.290669188] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540501.296803251] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.298103265] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540501.298844272] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540501.301008295] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540501.304805334] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540501.306734354] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.313463424] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540501.313861428] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.318710478] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540501.322489517] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698540501.330089596] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.340747706] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.342787727] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.351208814] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.361755923] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698540501.366087968] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.372306032] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.373183042] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.383305146] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698540501.374030050] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.378354095] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540501.382287136] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.374170052] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.389294208] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.393670254] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540501.394059258] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540501.397674295] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.402259342] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.412735451] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.415060475] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698540501.424836576] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540501.429373623] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540501.429692626] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.435292684] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.446249798] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.450966846] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540501.453375871] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.456988909] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.460706947] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540501.457816917] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540501.461632957] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540501.467544018] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698540501.469246036] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.472405068] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.480164149] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.481115158] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540501.492648278] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540501.509430451] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.511800476] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540501.513584494] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540501.513943498] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.534295709] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698540501.544274812] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540501.544102810] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.555373927] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.559336968] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540501.555419927] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540501.559083965] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698540501.567526053] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540501.571099090] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.567989057] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540501.571537094] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698540501.581560198] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.590720293] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.598215370] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.599674385] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.608669478] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.614985544] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540501.623112628] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.629120690] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698540501.630926709] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.638299785] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.643919843] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.653750945] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540501.654340951] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.662169032] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540501.674046155] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540501.678697203] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.685070269] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.684414262] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540501.691867339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.696002382] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698540501.710703534] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698540501.713397562] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.724602678] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540501.737149808] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540501.742582864] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540501.750426945] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698540501.755401997] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.759591040] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.763504081] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540501.769311141] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540501.769147139] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540501.772482174] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.782421276] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540501.786043314] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540501.787202326] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540501.792317379] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540501.792345379] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.804625506] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.808021541] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.805097511] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540501.809043552] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540501.814997614] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540501.818923654] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.816066625] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540501.816215626] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698540501.819604661] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698540501.835524826] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540501.835525826] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698540501.838135853] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.848961965] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.860968089] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.864697128] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540501.868099163] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.864155122] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540501.867717159] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698540501.868408166] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.872230206] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698540501.873098215] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.884642334] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.886450353] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540501.899639489] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.902655521] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540501.904731542] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540501.914018638] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540501.913606634] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.917263672] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698540501.941435922] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540501.922195723] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698540501.927168774] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.931174816] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540501.935673862] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540501.939369901] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.939572903] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.943801946] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.945990969] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.951614027] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540501.968613203] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698540501.975355273] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540501.978925310] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.976816288] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698540501.980748329] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540501.980598327] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698540501.984472367] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.991125436] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540502.001368542] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540502.005878589] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698540502.011742649] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540502.016925703] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698540502.016387697] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540502.021706752] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698540502.022050756] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540502.040973951] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540502.047193015] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540502.051662061] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540502.057920126] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698540502.065638205] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540502.070809258] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540502.080708361] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698540502.084280397] [coordinator]: The time of execution of above program is:2.2069807052612305
trials-all-1  | [environment-3] [INFO] [1698540502.080960363] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540502.084462399] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540502.089461451] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698540502.113339697] [coordinator]: ENDSIM
trials-all-1 exited with code 0
