 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-21-44-433795-e144d49a2162-1
trials-all-1  | [environment-3] [INFO] [1698542521.731616529] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.737885394] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.737862394] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.753356059] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542521.761863875] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.765529795] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.768567729] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542521.774753595] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542521.779746487] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.779810486] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.781163457] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542521.790699250] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542521.804670948] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542521.805780924] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542521.816910683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.822240567] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542521.824903509] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698542521.837594235] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.839870185] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542521.843847099] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698542521.845312067] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542521.857345807] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.861048727] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.858186789] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698542521.862215701] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698542521.866903600] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542521.872534478] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.876278397] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.887454155] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.895294985] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.899129902] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542521.903093816] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.906746737] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.897003948] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542521.900672869] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542521.907394723] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698542521.915412550] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542521.918540482] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542521.929337248] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698542521.929783238] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.939629025] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.952241752] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.956386662] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.954353706] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542521.958036627] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698542521.957453639] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542521.961339555] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.972221319] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.976062236] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.977752200] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542521.988710962] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.992314884] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.998026761] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542522.016982350] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542522.021433254] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542522.026411146] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542522.030513058] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542522.034372974] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542522.030888049] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542522.034662968] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.032535014] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542522.036071937] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542522.051278608] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542522.058608450] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542522.060133417] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542522.063112352] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542522.074579104] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542522.075184091] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542522.081468955] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698542522.082327937] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542522.092865709] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542522.098271592] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.098380589] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542522.103418480] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542522.112512284] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542522.117946166] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542522.125504002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542522.129516916] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542522.137385745] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542522.140683674] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542522.146090557] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542522.151074449] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542522.148460506] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542522.152231424] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542522.155498353] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698542522.158378291] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542522.160967235] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.168183079] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542522.172959976] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542522.180382815] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.187413663] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542522.192791547] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698542522.203008326] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698542522.205262277] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698542522.208355210] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542522.209983175] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542522.212917111] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.214633074] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542522.219718964] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542522.228084783] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542522.228082783] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542522.238924549] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542522.249337323] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542522.255017200] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698542522.266590950] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542522.272473823] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542522.277911705] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698542522.278674689] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542522.286396521] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542522.299523237] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542522.309081031] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542522.315673888] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542522.320728779] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698542522.325493676] [coordinator]: The time of execution of above program is:1.9473538398742676
trials-all-1  | [coordinator-2] [INFO] [1698542522.330037577] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698542522.334482481] [coordinator]: ENDSIM
trials-all-1 exited with code 0
