 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-09-48-174654-df94de9fc9f3-1
trials-all-1  | [nurse-4] [INFO] [1698534605.801456322] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.804788238] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698534605.806678190] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534605.810017105] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698534605.811356071] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.815473967] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.813945006] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534605.824598736] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [environment-3] [INFO] [1698534605.817521915] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534605.820781833] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534605.821126824] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.824737732] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.833348514] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698534605.837650405] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534605.837404411] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.841326312] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.842644278] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.851763047] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534605.855744946] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534605.856951916] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.861700795] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.869015610] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.871151556] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.878586367] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.880926308] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534605.884522217] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534605.893686984] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698534605.898656858] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534605.900193819] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.907085645] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.915228438] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.917246387] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.922065265] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.925812170] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.930374054] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534605.917666376] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.921572277] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534605.925429180] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534605.931622023] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.935254930] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534605.944692691] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.948322599] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.948665590] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.953187476] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.961809257] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534605.956070403] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.965692159] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.966812130] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534605.967131122] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.973223968] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534605.976692880] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534605.977187867] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.977371863] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.988253587] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698534605.990129539] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534605.990061541] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534605.996011390] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.999885292] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534606.001479252] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534606.005791142] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534606.010148032] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534606.014814914] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534606.024298673] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534606.029215549] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.030261522] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534606.033418442] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698534606.039098298] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534606.044285167] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534606.045541135] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698534606.050705004] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534606.053596931] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534606.061972719] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534606.062452707] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534606.063185688] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.068196561] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698534606.068991541] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.074335406] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534606.077907315] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698534606.081522223] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534606.085003135] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.090691991] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534606.101522717] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534606.091536970] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.095401872] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.094760888] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.099470769] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534606.103275672] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.105911605] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534606.112260445] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698534606.122884175] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.126675079] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534606.122926174] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534606.126668080] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534606.135742850] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698534606.159131257] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698534606.140886719] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534606.164027133] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534606.146754571] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.150457477] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.147232558] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.150659472] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.167774038] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534606.171522943] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.176333821] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534606.183382643] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534606.183142649] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534606.187370541] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534606.188947502] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.200242215] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534606.206642053] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.195050347] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.198736253] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.203133142] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534606.206969045] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534606.213378882] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698534606.216325808] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.226119560] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534606.227089535] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534606.235233329] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.242315149] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534606.252924880] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698534606.255951804] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.256476790] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534606.266745530] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534606.270970423] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534606.274177342] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534606.279263213] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698534606.285759049] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.291578901] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.298865716] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.300967663] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534606.307481498] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534606.302283630] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.305919538] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534606.307002510] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534606.311244403] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534606.312311376] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.321820135] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.325642038] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534606.324719061] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698534606.333580837] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534606.333694834] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.334149822] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534606.351681378] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534606.356953245] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.359717175] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534606.374715795] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698534606.374648796] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.379494673] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534606.385883512] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534606.392128353] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.400734135] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534606.404244046] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.408532938] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534606.411474863] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.415801754] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534606.420918624] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534606.421546608] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698534606.423585556] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.428474432] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.428746426] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.430553380] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534606.435801247] [robot]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534606.439834145] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698534606.442788070] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.443992039] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534606.448568923] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534606.456835714] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698534606.457457698] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534606.458418674] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698534606.462304575] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534606.463297550] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534606.464074530] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.472547316] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.473162300] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.476778209] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534606.476748209] [nurse]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698534606.479036151] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698534606.490423863] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.490812853] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.491541834] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534606.498990646] [robot]: Doing a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534606.501393585] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.503195539] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534606.503253538] [nurse]: Doing a_open_door
trials-all-1  | [arm-1] [INFO] [1698534606.505266487] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.511352333] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534606.514622250] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.520940090] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534606.524966988] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698534606.526741943] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534606.530677843] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534606.534497746] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [coordinator-2] [INFO] [1698534606.544138502] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698534606.530909837] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.542108553] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534606.545774460] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698534606.533411774] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [environment-3] [INFO] [1698534606.537224677] [environment]: Action: a_open_door
trials-all-1  | [arm-1] [INFO] [1698534606.537856661] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.542188551] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534606.550757334] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.564401988] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.566273941] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698534606.573570756] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534606.578728625] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534606.582101540] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534606.589695347] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.599204107] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698534606.602775016] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534606.590008340] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534606.594048237] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534606.600207081] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.603769991] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534606.607916886] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.615306699] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.624429467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534606.625012453] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534606.628529364] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.637356140] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.649310837] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.657120639] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534606.661179536] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.665501427] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.651079792] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.660912543] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.651336786] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534606.660740547] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534606.671045286] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534606.674500199] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534606.667247382] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534606.670850291] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534606.674473199] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [environment-3] [INFO] [1698534606.682032008] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.694875682] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.697917605] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534606.704789431] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534606.709924301] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.711123271] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534606.715602157] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.723406960] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.734316683] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.737809595] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698534606.742987463] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534606.749495299] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534606.752989210] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534606.757784088] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534606.761395997] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.768016829] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698534606.772604713] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.775089650] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534606.775466640] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534606.781117497] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534606.787344339] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534606.788242317] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.797598080] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.817028587] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.798004069] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534606.798051068] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698534606.808801796] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534606.812252708] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534606.816625598] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534606.822317453] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.826290353] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534606.846004853] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534606.855909602] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534606.856530586] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534606.859736505] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534606.866887324] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534606.861654457] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534606.863346414] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534606.867171317] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534606.870796225] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [arm-1] [INFO] [1698534606.875485106] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534606.890007738] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534606.890342730] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.895693594] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.901488447] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.906233327] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534606.914191125] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534606.925916828] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.929771731] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534606.932014674] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698534606.936775553] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534606.946433309] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534606.950222213] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534606.957334032] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698534606.961302932] [coordinator]: The time of execution of above program is:2.4451088905334473
trials-all-1  | [arm-1] [INFO] [1698534606.946486307] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698534606.950467206] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534606.947099292] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534606.950643202] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534606.982953383] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698534606.987103278] [coordinator]: ENDSIM
trials-all-1  | [robot-6] [INFO] [1698534607.005159821] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534607.013468610] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534607.030005191] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534607.043490850] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534607.076839005] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534607.080703908] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534607.091341638] [coordinator]: plans_actions_current 12 of 11
trials-all-1  | [coordinator-2] [INFO] [1698534607.122810841] [coordinator]: The time of execution of above program is:2.5791285037994385
trials-all-1  | [coordinator-2] [INFO] [1698534607.127107732] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698534607.147735210] [coordinator]: ENDSIM
trials-all-1 exited with code 0
