 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-25-29-215140-1185b0a6f952-1
trials-all-1  | [arm-1] [INFO] [1698539146.148138779] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.152204716] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.155471665] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698539146.162234559] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539146.164328526] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698539146.162454556] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539146.173342386] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698539146.177929314] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539146.180961267] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539146.183981219] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539146.193172076] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.197056015] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539146.200625959] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539146.205443884] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.215421728] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539146.222432619] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539146.229526508] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539146.231999469] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698539146.236066406] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539146.239689349] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539146.245053265] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698539146.246649240] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.259170045] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539146.271660850] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539146.274283809] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.289095577] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539146.291702536] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539146.301230388] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539146.302870362] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.310329245] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539146.311535227] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698539146.316523149] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539146.319025110] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539146.325469009] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539146.326358995] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698539146.330622928] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.331652912] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.349019641] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698539146.358646490] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698539146.366124374] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.377101202] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.389970001] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.396220903] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.404721771] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.410770676] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.419227544] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.424954455] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.435100296] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.441528196] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.448179092] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.453750005] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.460220904] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.468313777] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.478505618] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.485149514] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.491427416] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.498367308] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.506483181] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.512103093] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.520919955] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.526066875] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.532369776] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.538165686] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.544515587] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.553640444] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.561944314] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.569356199] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.575429104] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.580898018] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.583915971] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698539146.591578851] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.598243747] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.606640616] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.613680506] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.622292371] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.628732271] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698539146.628879269] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.634429182] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539146.636817145] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.640964080] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539146.646942986] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.655807848] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.659745786] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539146.656484837] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539146.660599773] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539146.671086609] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698539146.675088547] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539146.678950486] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.676573523] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539146.682467431] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539146.689005329] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698539146.684904393] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.688863331] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.698576180] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.706086062] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.710184998] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.707362042] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539146.710936987] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698539146.712093968] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.714264935] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.715517915] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.722054813] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.725570758] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.736654585] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698539146.737129577] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698539146.745053454] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539146.746800426] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.758047251] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.763334168] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698539146.771311043] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539146.774849988] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.772531024] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.773043016] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539146.776385964] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539146.781370886] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539146.789145765] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539146.789867753] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539146.802144562] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698539146.803314543] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539146.809551446] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.810608429] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539146.821820254] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698539146.829289137] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.835814036] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.831532102] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539146.835426042] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698539146.841794942] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.848404839] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.852804770] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698539146.869345512] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.871051485] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539146.874264435] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.878472369] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539146.885438260] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698539146.889853191] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539146.904228967] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539146.892903144] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.896689084] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.900030032] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539146.914192811] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698539146.917369761] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.930884550] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.935424479] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.946784302] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.951405230] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698539146.958051126] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698539146.962534056] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698539146.962677054] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539146.963578039] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539146.976820833] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539146.992642585] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.996437526] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539146.993376574] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539146.996894519] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539147.022243123] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539147.036064907] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539147.052752647] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539147.061462511] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698539147.069353388] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539147.070348372] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698539147.074828302] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539147.075072299] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698539147.092291030] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539147.096715961] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539147.101036893] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539147.107291796] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698539147.111120736] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539147.118007628] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698539147.122076565] [coordinator]: The time of execution of above program is:2.2121543884277344
trials-all-1  | [environment-3] [INFO] [1698539147.122003566] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539147.137961317] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698539147.141344264] [coordinator]: ENDSIM
trials-all-1 exited with code 0
