 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-17-897821-dccc777616e5-1
trials-all-1  | [robot-6] [INFO] [1698532715.358533976] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532715.365027851] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532715.368079792] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532715.368977774] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532715.374753663] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.378812584] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532715.380736547] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.384910467] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698532715.392896313] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.396673240] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532715.403785102] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.407724026] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.399816179] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532715.403827102] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532715.416490857] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532715.405483070] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.409602990] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.426343667] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532715.433743524] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698532715.437991442] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532715.441908366] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532715.436047479] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.440482394] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.453225148] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532715.457237070] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532715.456704081] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.461143995] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.457553064] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.461316992] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.465070919] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532715.480147628] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532715.488913459] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698532715.494191357] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.498806268] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.508063089] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.515977936] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698532715.517445908] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.520637846] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532715.520861842] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532715.523050800] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532715.527228719] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.538602499] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.550056278] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532715.552658228] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698532715.555228178] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532715.558697111] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532715.563902011] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.567903934] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532715.577814742] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532715.590526497] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532715.594478421] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532715.594523420] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.598074351] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.609897123] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532715.612877065] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532715.617951967] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698532715.617958967] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.622579878] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532715.626716798] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698532715.627326786] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.643612472] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.651128327] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532715.655266247] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.659826159] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532715.660520145] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532715.661169133] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.665582048] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532715.684381685] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532715.684440684] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.690500567] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.692284532] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.694228495] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.701682351] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532715.705680273] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532715.706744253] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532715.713207128] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532715.722460949] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532715.725079899] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698532715.729010823] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.736400680] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.741325585] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.741847575] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.749634425] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.759484235] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698532715.762386179] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532715.762435178] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.767452081] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.777893879] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.782915782] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698532715.793935569] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.794141566] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698532715.798416483] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.801037432] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.804275370] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532715.805710342] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532715.814886165] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.815571152] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.823173005] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532715.831657841] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698532715.843096620] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.848341519] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.851999448] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532715.866940160] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532715.874088022] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.877875949] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532715.876899968] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532715.890551704] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532715.894490628] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698532715.898259555] [coordinator]: The time of execution of above program is:1.9757897853851318
trials-all-1  | [coordinator-2] [INFO] [1698532715.908536357] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698532715.916188209] [coordinator]: ENDSIM
trials-all-1 exited with code 137
