 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-01-22-831578-92f4898ac57a-1
trials-all-1  | [arm-1] [INFO] [1698526900.266007259] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.282946136] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.282969136] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526900.291450075] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.303613987] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526900.306945963] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526900.313004919] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.317628886] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526900.319489872] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698526900.322948847] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526900.326480822] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698526900.333689770] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.338043738] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.337982739] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526900.348866660] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526900.360320577] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.364068550] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526900.363856552] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698526900.377361454] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698526900.380501432] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.388739372] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.392563345] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698526900.393920335] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698526900.405481251] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526900.411332209] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526900.414314187] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.429066081] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.435065038] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526900.436787025] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698526900.440598998] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526900.446022958] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.449773931] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.461428847] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526900.461612846] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698526900.470963778] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526900.474916750] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526900.481997698] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698526900.490343638] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.506593521] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.509386501] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526900.516750447] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526900.522448406] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526900.526355378] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526900.529989352] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698526900.526691376] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.530519348] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.546835230] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.550831201] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.537422298] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.541753267] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.557611152] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698526900.562431117] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526900.591394908] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.595378879] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.599148852] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698526900.600822840] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.610303772] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698526900.618090715] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698526900.621595690] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526900.626954651] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526900.631104621] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.650961478] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.654693451] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698526900.666846363] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526900.670751335] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526900.684800233] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698526900.694562163] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526900.698516134] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526900.705826081] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526900.709937052] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698526900.724901944] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526900.728620917] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526900.746353789] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698526900.752113747] [coordinator]: The time of execution of above program is:1.907801628112793
trials-all-1  | [coordinator-2] [INFO] [1698526900.756986712] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698526900.781097538] [coordinator]: ENDSIM
trials-all-1 exited with code 0
