 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-19-31-351589-a20c13e0220b-1
trials-all-1  | [robot-6] [INFO] [1698542388.915800036] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542388.925569756] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542388.928413674] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542388.934482500] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542388.941797290] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.945807175] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542388.942164280] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542388.946059168] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.953937942] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.954283932] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542388.958515811] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.959683777] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.963821659] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542388.968010538] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542388.965867600] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542388.966570580] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.970534466] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542388.980501180] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.982004137] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.991841855] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542388.993140817] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.002021563] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.006357438] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.010004334] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542389.005995449] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542389.009793340] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542389.005987449] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.009793340] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.006323439] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542389.017941106] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542389.018640086] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698542389.020866022] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542389.026818852] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698542389.030425749] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542389.037801537] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542389.041647427] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.038525516] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.046957275] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.048148241] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.054396062] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542389.068714651] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698542389.070639596] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542389.071963558] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.074835476] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542389.076518428] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.079513342] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.081429287] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542389.082703250] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.091881987] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542389.092053982] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542389.093034954] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698542389.098450799] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698542389.098656793] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542389.106198577] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542389.110654449] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.117354257] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.121322144] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.118149235] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.130311886] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542389.131238859] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.134870755] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542389.136412711] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698542389.143985494] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542389.149714330] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698542389.152705244] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542389.155810155] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542389.161139003] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.163398938] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542389.164742899] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.167743813] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542389.170427736] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.174897608] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542389.179058489] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542389.183923350] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542389.193318080] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698542389.195306023] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542389.207649670] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698542389.213752495] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.218082371] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542389.220314307] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698542389.221496273] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542389.222780236] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.230689009] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.232951944] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.235657867] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.237062827] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542389.237242821] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542389.241288706] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.242345675] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698542389.250811433] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542389.252773376] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542389.253272362] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698542389.259730177] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.262646093] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542389.264343045] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.268158935] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542389.278099651] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698542389.283498496] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542389.285356443] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542389.297907083] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698542389.299845027] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698542389.301922968] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542389.306121848] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542389.307976794] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.312446666] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542389.310496722] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542389.312841655] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542389.316935538] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542389.319087476] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.323241357] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542389.324899309] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542389.331041133] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542389.331974107] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698542389.335407008] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542389.337745941] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542389.342170814] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.343561775] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542389.345932707] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.348979619] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542389.355252440] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542389.359592315] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542389.363877192] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698542389.374079900] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698542389.376967817] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.378607770] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.385432575] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542389.388903475] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542389.394424317] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542389.396401260] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.401510114] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.405738993] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542389.408563912] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542389.409710879] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [coordinator-2] [INFO] [1698542389.421701535] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698542389.426398401] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.430691278] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542389.433198206] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542389.434790160] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698542389.435308145] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542389.438122065] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542389.439281031] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.440678991] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698542389.447374799] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.448075779] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542389.448485768] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542389.455393570] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.459277458] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698542389.462014380] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542389.467212231] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698542389.470958124] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542389.475485994] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698542389.476458966] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.480306856] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542389.488703615] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698542389.490944551] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698542389.495263427] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542389.495546419] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542389.499283312] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542389.504475163] [nurse]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698542389.506613102] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542389.510155000] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542389.513302910] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542389.517310795] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542389.514830866] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542389.517558788] [nurse]: Doing a_open_door
trials-all-1  | [arm-1] [INFO] [1698542389.519111744] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542389.524478590] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698542389.526483532] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.530973404] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542389.530268424] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.532076372] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542389.541159112] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.546868948] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542389.550850834] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542389.554831720] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542389.562250507] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542389.563942459] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698542389.566622382] [environment]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698542389.573037198] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542389.577445072] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542389.581206964] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.591058682] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698542389.591295675] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698542389.600849401] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542389.602983340] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698542389.606474240] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.606984225] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698542389.610460126] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542389.610635121] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698542389.630758544] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698542389.635015422] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698542389.641015250] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.645111133] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.649506007] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542389.653253899] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.659115731] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.663781598] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.672207356] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.675788254] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.682696056] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542389.685525974] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542389.698125613] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542389.702732481] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542389.712732195] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698542389.717049071] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542389.721103955] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698542389.727961758] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.733148610] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542389.742559340] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.747076211] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.755305975] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542389.764228719] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542389.767809616] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.773487454] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542389.777958326] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.785363113] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.789405997] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.797769758] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.801817642] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542389.807002493] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542389.809224429] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542389.813350311] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542389.815334254] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.829965835] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.834161715] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.841805496] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698542389.843075459] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.847793324] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542389.856884064] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542389.859625985] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542389.860803951] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.867945747] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542389.872617613] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542389.876899490] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542389.887417189] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.891624068] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542389.902022770] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.903779720] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542389.907768605] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542389.909694550] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542389.914500412] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698542389.922319188] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542389.926379072] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698542389.937708747] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542389.942616607] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542389.947603464] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542389.957121191] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542389.967409896] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542389.967470894] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.972406753] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542389.976601633] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542389.982778456] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542389.983482436] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542389.988037305] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542389.997407037] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542390.001686914] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542390.009624687] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542390.014299553] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698542390.021946334] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542390.025963219] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542390.023798281] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542390.027950162] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542390.037178898] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698542390.041394777] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542390.044723682] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542390.048703568] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698542390.051260495] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542390.056120356] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542390.061451203] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698542390.065627084] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542390.066770051] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542390.070659939] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542390.074745822] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542390.077221752] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542390.081002643] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542390.080639654] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542390.088393432] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542390.093208294] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698542390.098953130] [coordinator]: The time of execution of above program is:2.5838630199432373
trials-all-1  | [coordinator-2] [INFO] [1698542390.109803819] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698542390.114457686] [coordinator]: ENDSIM
trials-all-1  | [robot-6] [INFO] [1698542390.137126037] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542390.144277832] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542390.148771704] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542390.169771102] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542390.179848814] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542390.197482309] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542390.206986037] [coordinator]: plans_actions_current 12 of 11
trials-all-1  | [coordinator-2] [INFO] [1698542390.229377396] [coordinator]: The time of execution of above program is:2.7024288177490234
trials-all-1  | [coordinator-2] [INFO] [1698542390.240108089] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698542390.250269798] [coordinator]: ENDSIM
trials-all-1 exited with code 0
