 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-23-24-090827-50bec775da4a-1
trials-all-1  | [robot-6] [INFO] [1698531821.226672028] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.236606360] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.243396588] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.255318987] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531821.256723034] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531821.261024178] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.273262587] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531821.278209753] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.282583899] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531821.288388094] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531821.294657303] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531821.298926446] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531821.310631838] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.321380198] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.330455502] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.334483636] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.331244528] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531821.335285663] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531821.342310898] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.351567208] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531821.355231331] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531821.353830284] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.365514675] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.371161864] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531821.377286069] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531821.386380374] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.390648516] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531821.403773956] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531821.410148169] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531821.411601218] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698531821.415893361] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.421157538] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531821.425117670] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698531821.434961000] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531821.436368047] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698531821.440591188] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531821.444123306] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531821.451075539] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531821.458749796] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531821.458969803] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531821.462849933] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531821.466176044] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531821.481206548] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531821.485991708] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698531821.490746867] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.499606163] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.503604297] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531821.503551295] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531821.512253587] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531821.515465694] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698531821.526121051] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531821.530391194] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.534303325] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.528222121] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531821.532462263] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531821.546247725] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531821.551185890] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531821.556135056] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.566693409] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531821.574215661] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531821.581397901] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.586929086] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531821.591104226] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.594673345] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.587305099] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531821.591130227] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531821.604666680] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531821.611758917] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698531821.617340104] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531821.618409140] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.633572648] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.637204769] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531821.639578849] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698531821.654124335] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531821.659163504] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.661704589] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531821.667762792] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.687471452] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.691520587] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531821.694314681] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531821.700347883] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531821.700649893] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.704242013] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531821.715773399] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531821.721500591] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531821.725124712] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531821.721385587] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.725023709] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.730581895] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.734156014] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.750373557] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.754070681] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.766113084] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.770776240] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.783632670] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698531821.787890813] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531821.792379963] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.796042086] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.803560337] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.807516470] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531821.812093623] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.815808747] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.819506871] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531821.830302232] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531821.834167362] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531821.849266867] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531821.857494143] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531821.884414044] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531821.894541383] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531821.900402579] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531821.919250210] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531821.924612389] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531821.938781863] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531821.947609159] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531821.955614427] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531821.984990410] [coordinator]: The time of execution of above program is:2.177588939666748
trials-all-1  | [coordinator-2] [INFO] [1698531821.992655667] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531822.000681935] [coordinator]: ENDSIM
trials-all-1 exited with code 0
