 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-39-40-878442-a129a60a2b4b-1
trials-all-1  | [robot-6] [INFO] [1698529198.696638237] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529198.701562368] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529198.705639477] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529198.702526394] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529198.706353497] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529198.714618718] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698529198.703321415] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529198.703661424] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.715199733] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.711962647] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.720493875] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.724818991] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.734314245] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.741118427] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529198.734326245] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.748288618] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529198.749646655] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529198.753953770] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529198.754057773] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529198.757044853] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.762966011] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.778052415] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529198.779400451] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.782312529] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.787464667] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.789153712] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529198.792419799] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.794630858] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529198.800213008] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529198.804620126] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529198.810764290] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529198.812976349] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698529198.814872400] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529198.817638474] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.821272571] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529198.825575686] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698529198.825803692] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529198.827164729] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.833221891] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.849837335] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529198.851073368] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.854082449] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529198.861923659] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529198.862189666] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529198.866621784] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.870402886] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529198.882883220] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.889536398] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529198.892498477] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529198.895829566] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529198.899409662] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529198.912431010] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698529198.906818860] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.907377875] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.910957971] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.920568228] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.926866396] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.929270461] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529198.938180699] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529198.938560709] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529198.946456920] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.951756062] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.966272451] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.966621460] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.976440723] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698529198.980893842] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529198.981677863] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.991640129] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529199.003775454] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529199.010390630] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529199.014351736] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529199.020143890] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529199.022388950] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529199.027307081] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529199.023840988] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529199.033943257] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698529199.038286373] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529199.042872495] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529199.052263745] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698529199.052282746] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529199.067920162] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529199.074590340] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529199.078841453] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529199.081609527] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529199.103714116] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529199.110577298] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529199.112737356] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529199.114869413] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529199.117218475] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529199.136005976] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529199.141587124] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529199.145253222] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529199.145335224] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529199.157246541] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529199.163386705] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529199.169827877] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529199.169965880] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529199.181636191] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529199.185643298] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529199.192225473] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529199.197660618] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529199.199656671] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529199.205670831] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698529199.210587962] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698529199.206811862] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529199.215109083] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529199.218999186] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529199.225845368] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529199.230904503] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529199.254743138] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529199.264761405] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529199.270752565] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529199.274631668] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529199.267587480] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529199.271268578] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529199.275071680] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529199.280981837] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529199.286534985] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529199.288410035] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529199.292628147] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529199.300668361] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529199.308469569] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529199.312882687] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [environment-3] [INFO] [1698529199.319721869] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529199.323715975] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529199.326112039] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529199.337849352] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529199.344057517] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529199.349378659] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529199.353880779] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529199.354468794] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529199.355405819] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529199.361069970] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529199.378110424] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529199.382890551] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529199.384342590] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529199.388509701] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529199.392286801] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529199.397385937] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529199.403710106] [robot]: Pick up
trials-all-1  | [coordinator-2] [INFO] [1698529199.409670264] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529199.421599582] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698529199.422794614] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529199.426050701] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529199.430656823] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529199.434610929] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529199.437679010] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529199.448500299] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529199.452331401] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529199.468856841] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529199.472633941] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529199.480071139] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529199.484976270] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529199.491670448] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [environment-3] [INFO] [1698529199.495971563] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529199.500065672] [coordinator]: The time of execution of above program is:2.1197378635406494
trials-all-1  | [coordinator-2] [INFO] [1698529199.503799771] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529199.509260917] [coordinator]: ENDSIM
trials-all-1  | [environment-3] [INFO] [1698529199.594884197] [environment]: Action: monitor
trials-all-1 exited with code 0
