 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-28-11-415546-465e44f2a2ac-1
trials-all-1  | [robot-6] [INFO] [1698528509.187368922] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528509.189187953] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.192496009] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.192808014] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528509.193894033] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.209872304] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528509.216179411] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.216220412] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528509.217937441] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.224685556] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528509.229008630] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528509.229884644] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528509.233511706] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.234943730] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698528509.242211854] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.246176921] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528509.266308264] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528509.267273280] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698528509.270316332] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.272862375] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698528509.275896426] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.286632609] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528509.290727679] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528509.298055803] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698528509.303450895] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528509.307737968] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528509.320825190] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528509.331132365] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.344952600] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528509.345159604] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.359365845] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528509.362813904] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.379221183] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.383799261] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528509.386647309] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.394670445] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528509.393553426] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528509.403324592] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698528509.403979604] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.411646734] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528509.413043758] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.423039928] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528509.423952943] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528509.436528157] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698528509.442445257] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528509.450130388] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.456558497] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528509.457716517] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528509.458904537] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.462505598] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528509.464407631] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.464572633] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.481230917] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.487185018] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528509.492772113] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698528509.501692264] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528509.509505397] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528509.510880421] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528509.522047610] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528509.528488720] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.536564857] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528509.540426923] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528509.542009950] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528509.555242175] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528509.555725183] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528509.559042239] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.559940254] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528509.568752404] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698528509.574340499] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528509.575702522] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528509.580882610] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698528509.581030613] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.597512893] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528509.604470011] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528509.609499097] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.610124107] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.614776187] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528509.615019191] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.631721475] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528509.634850528] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528509.637369571] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.642297654] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528509.648247755] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528509.650771798] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528509.651748815] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.656256892] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528509.656668899] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.665794054] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698528509.666185060] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.676642238] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.683891361] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.694621544] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698528509.701946668] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.706740750] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.713696868] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698528509.714145876] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.718642952] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.722612019] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528509.721909007] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698528509.730619156] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528509.731465170] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528509.734444221] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.740825329] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528509.747566444] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.749483476] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528509.753409543] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528509.757557613] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698528509.768714803] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528509.774987910] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528509.778962977] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528509.789177151] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.796952283] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528509.802575379] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.805992437] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528509.809822502] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528509.813674567] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698528509.829781841] [coordinator]: The time of execution of above program is:2.2888731956481934
trials-all-1  | [coordinator-2] [INFO] [1698528509.834019913] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698528509.837521973] [coordinator]: ENDSIM
trials-all-1 exited with code 0
