 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-59-53-703124-797dc3f7d15b-1
trials-all-1  | [robot-6] [INFO] [1698530410.915463310] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.919185321] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.920875326] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530410.929786351] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530410.935450367] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530410.944591394] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530410.945344396] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530410.954954423] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698530410.958520434] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530410.962567445] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.966193456] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.963781449] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530410.971751471] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.976331485] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530410.982912503] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.988490519] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530410.997379545] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530410.997615545] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.005636568] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530411.007614574] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698530411.017143601] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530411.026520627] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530411.032574644] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530411.040186665] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.050534694] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.057414713] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530411.063957732] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530411.064142732] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530411.067897743] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.068860745] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530411.075086763] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530411.080427778] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530411.082798785] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.092615812] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530411.100709835] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.100788835] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530411.105854849] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530411.112892869] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530411.116653879] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530411.120014889] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698530411.114740874] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530411.119003886] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530411.123177898] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.119251887] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530411.122921897] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.129611916] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530411.134381929] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.145902961] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.150192973] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530411.157092993] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.158899998] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530411.163431010] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.163493011] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530411.175797045] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530411.180954059] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.181236060] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698530411.188162080] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530411.194249097] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530411.201690118] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530411.206879132] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530411.207344133] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530411.222193175] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530411.230141197] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530411.232653204] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530411.233893208] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530411.237820219] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.238077220] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530411.247624246] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530411.238365220] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698530411.242362232] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530411.254294265] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698530411.255288268] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530411.259062278] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530411.270119309] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530411.280153337] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530411.284407349] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.289289363] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530411.293596375] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.300696395] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530411.306044410] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530411.315057435] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530411.311274425] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.316747440] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.321762454] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530411.325248464] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530411.328855474] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530411.330787479] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530411.331270481] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.339733504] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530411.340093505] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698530411.351416537] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530411.359364559] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530411.365701577] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.372243595] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.372819597] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530411.376994609] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.392089651] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698530411.393384655] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.394404657] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530411.398192668] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530411.402556680] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530411.415057715] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530411.416852720] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.426783748] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698530411.431752762] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.439050782] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.443479795] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530411.446973805] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.454858827] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530411.455775829] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530411.464582854] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530411.475250884] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530411.475744885] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530411.485174912] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530411.485979914] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530411.509314979] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698530411.518512005] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530411.524364021] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530411.525176024] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530411.529944037] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530411.539703064] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530411.551996099] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530411.554406106] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530411.559832121] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530411.560971124] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530411.564365134] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530411.567726143] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698530411.583856188] [coordinator]: The time of execution of above program is:2.040112018585205
trials-all-1  | [coordinator-2] [INFO] [1698530411.587334198] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698530411.590767208] [coordinator]: ENDSIM
trials-all-1 exited with code 0
