 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-11-25-602678-e320bde50d02-1
trials-all-1  | [arm-1] [INFO] [1698531102.917299840] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.923557982] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.927464070] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.936862282] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531102.938468319] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.942619412] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698531102.946328496] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531102.958655775] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.951728618] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531102.956164718] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531102.959921803] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531102.962467861] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.974217126] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.979934255] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.989154464] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531103.003023777] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531103.006176848] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531103.009715928] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531103.023462237] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531103.024461259] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531103.028933360] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531103.033207456] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531103.037892562] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531103.042034655] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531103.056995992] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531103.060633073] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531103.067573230] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698531103.071680322] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531103.075460407] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531103.070669299] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531103.074830393] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531103.094948846] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531103.098918935] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531103.121269438] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531103.125256528] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531103.129119614] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531103.137684807] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531103.143961948] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531103.153879172] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531103.165384430] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531103.178407723] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531103.182382813] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531103.187030918] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531103.191788025] [coordinator]: The time of execution of above program is:1.8032426834106445
trials-all-1  | [coordinator-2] [INFO] [1698531103.195894117] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531103.218182618] [coordinator]: ENDSIM
trials-all-1 exited with code 0
