 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-46-40-343714-88e2d9da7906-1
trials-all-1  | [robot-6] [INFO] [1698529617.571660061] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.590379397] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529617.599669563] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529617.602576615] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529617.609365737] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529617.610733762] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698529617.613612813] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.618574902] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.618885908] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529617.625448025] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529617.629917105] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698529617.634553188] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529617.637209236] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529617.644814372] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698529617.651582494] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529617.653642531] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529617.659813641] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.662464689] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529617.662954697] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.669154809] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.670705836] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529617.677054950] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.680268008] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529617.687642140] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.691540210] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529617.688724159] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529617.692234222] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529617.695780286] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698529617.689233168] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.693449244] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.707436495] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529617.716172651] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529617.722416763] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698529617.723398781] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.729603892] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.724222795] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.737258029] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529617.751728288] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529617.760511446] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698529617.766130547] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529617.766731557] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529617.771297639] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.772068653] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529617.784097869] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529617.787773934] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529617.794312052] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529617.798130120] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529617.798793132] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.803763221] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529617.804110227] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529617.809682327] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529617.817239462] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529617.821072531] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698529617.831340715] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529617.832757741] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.845212964] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.850819064] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529617.859185214] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.864336307] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698529617.871383433] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.879700582] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.886525704] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529617.892153805] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.899529937] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.904600028] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.922538350] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.929091467] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.934552565] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529617.940790677] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.948677818] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.954121916] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.959389010] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529617.964798107] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529617.970620211] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529617.978046344] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529617.981872413] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529617.978113346] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.982057416] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529617.985913485] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529617.988171526] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529617.990478567] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.997591695] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698529618.013512979] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529617.999580730] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529618.003563802] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529618.008329887] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529618.012501961] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529618.019681089] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529618.025146186] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529618.036229384] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529618.042700499] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.050764643] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529618.057167757] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529618.058308778] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.055616730] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698529618.075735088] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.078157131] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529618.080950181] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529618.085782267] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.096987467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529618.100429528] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529618.106113630] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529618.101934555] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529618.106893643] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529618.108843678] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529618.112508744] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529618.115913804] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698529618.114456778] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529618.122500922] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529618.128886035] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.139443224] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.145881338] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529618.150672424] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529618.157285542] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529618.155988519] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.157039537] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529618.166431705] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529618.173932838] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529618.174895856] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.185600046] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.188020089] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698529618.195203217] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529618.201128323] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529618.212508526] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529618.223242717] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529618.229681832] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529618.239173001] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529618.245280110] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529618.259440362] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698529618.260210376] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.271096570] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529618.275355646] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529618.280811743] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529618.280853744] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529618.289982907] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529618.299341074] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529618.305617185] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529618.309309251] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529618.312838314] [coordinator]: The time of execution of above program is:1.995351791381836
trials-all-1  | [environment-3] [INFO] [1698529618.308769242] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529618.312934316] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529618.316916387] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529618.330129622] [coordinator]: ENDSIM
trials-all-1 exited with code 0
