 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-45-04-976142-91a5fee56061-1
trials-all-1  | [robot-6] [INFO] [1698529522.350689698] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.354597758] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529522.376431096] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529522.376509098] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.381134169] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.382173185] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529522.387952275] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.394052369] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529522.399189449] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529522.403409514] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529522.399877459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.403910522] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.415141696] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.421662797] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529522.429596920] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.433514980] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529522.423386824] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529522.431256945] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529522.441801109] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.452751278] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529522.461958421] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529522.467551508] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698529522.471643571] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529522.475871636] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698529522.471555570] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.475567632] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529522.479422691] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.494155920] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529522.501030026] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.503404063] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529522.519887318] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.523433373] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.534858550] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529522.537170586] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529522.543236680] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529522.540350635] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529522.553975846] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529522.556712888] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529522.562300975] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529522.568101065] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.577210206] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529522.579496241] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698529522.582024280] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529522.589706399] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.593859464] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.590269408] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.594130468] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.600455566] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529522.610981729] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.614696786] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.610636724] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.614627785] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.637156134] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.640916193] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698529522.644014241] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.648198305] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529522.648961317] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529522.653368385] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529522.663788547] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529522.669118629] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529522.673203693] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529522.682906843] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529522.700766119] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529522.709751259] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529522.726668521] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529522.738735707] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529522.744077790] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529522.765870128] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529522.771202210] [coordinator]: The time of execution of above program is:1.8225963115692139
trials-all-1  | [coordinator-2] [INFO] [1698529522.782764389] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529522.803062704] [coordinator]: ENDSIM
trials-all-1 exited with code 0
