 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-33-53-856409-bf4736df811c-1
trials-all-1  | [robot-6] [INFO] [1698532451.064292068] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698532451.054160918] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.071382174] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.081258320] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532451.083783358] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.086898404] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.088630430] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.095206528] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.103139646] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.104339663] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.107713714] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.113807804] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532451.113980807] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.122077927] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.126557994] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.134261108] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532451.138466170] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.140791205] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532451.144655262] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.154768413] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.158797473] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.162953534] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.163496542] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532451.169544632] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.170357644] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.179457780] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532451.187900905] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.189637931] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.197246044] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.198384061] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532451.203364135] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.207460196] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532451.208403210] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698532451.216304327] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.223409433] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532451.224825454] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.226389477] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532451.227775498] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532451.228661511] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532451.230210534] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532451.237557643] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532451.241958708] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.242019709] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698532451.244876752] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698532451.249800825] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.256170919] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532451.265243054] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.265237054] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532451.268537103] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.274242188] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532451.287657387] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532451.289029408] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.293130469] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.294669491] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532451.298989556] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.309130706] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698532451.310576728] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.311615743] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.321650892] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.325654952] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532451.329389007] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.339445157] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532451.342233198] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.346611263] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532451.346761265] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.349406305] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532451.359842460] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.364001522] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532451.364001522] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.372013641] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698532451.372040641] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.377733726] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.387532871] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532451.390340913] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.402352091] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532451.408638185] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.412077236] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532451.417112311] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532451.417221312] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.420926367] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.428690483] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532451.435093578] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.442516688] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.447911768] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698532451.448480777] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.449292789] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.460249952] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532451.464745019] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532451.465012023] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.470480104] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532451.473169144] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532451.476822198] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.480200248] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532451.480974260] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532451.491161411] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.496737494] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532451.497609507] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698532451.501595566] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532451.512623730] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532451.513348741] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532451.518081811] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.522027870] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532451.527597952] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532451.536559086] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.537676102] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698532451.548158258] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.548284260] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698532451.553921344] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532451.562623473] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.565493516] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.572641622] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.573602636] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.585038806] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.588954864] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.587459842] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.590994894] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.594011939] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532451.607443139] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.611623201] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.612660216] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532451.614157239] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.619233314] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532451.622058356] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532451.622260359] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532451.622975370] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.631636498] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532451.636610572] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698532451.643961681] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.645193700] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.650645781] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532451.659897918] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.660268924] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.661215938] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532451.662825962] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698532451.665870007] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532451.668357044] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532451.670613077] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532451.678529195] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698532451.682348252] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532451.685951305] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532451.691474387] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698532451.693339415] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.695456447] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.709338653] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.713241711] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.716962766] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.717425773] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.721295831] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.728221933] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532451.731786986] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.730213963] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532451.733215008] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.740088110] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532451.740397114] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532451.744021168] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.752089288] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [coordinator-2] [INFO] [1698532451.758035376] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.757569370] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.758115378] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.763469457] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532451.766855508] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.774090615] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.775954643] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.774663624] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.784382768] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532451.787527815] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698532451.791217870] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532451.801975029] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532451.808589128] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698532451.809294138] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.810746160] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532451.816370243] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532451.820892310] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532451.822154329] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532451.824834369] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532451.831992475] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698532451.833840503] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698532451.841510617] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532451.844830666] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532451.846913697] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532451.850813755] [nurse]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698532451.851066759] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.857335852] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532451.860744903] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.861199909] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698532451.865010966] [nurse]: Doing a_open_door
trials-all-1  | [arm-1] [INFO] [1698532451.866264985] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532451.872911083] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532451.874460106] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532451.876508137] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532451.883796245] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532451.884331253] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.894274401] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532451.902871529] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.911904663] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532451.916927737] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532451.922755824] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532451.926381878] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532451.930217935] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698532451.935100007] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698532451.944760151] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [environment-3] [INFO] [1698532451.948747210] [environment]: Action: a_open_door
trials-all-1  | [arm-1] [INFO] [1698532451.948889212] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.949234217] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532451.952805270] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532451.956505325] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698532451.961755403] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698532451.963403428] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532451.969299516] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532451.971113543] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.986936778] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532451.992693863] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.001923000] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698532452.002098003] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532452.008268094] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532452.012554158] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.020819280] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532452.022372303] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698532452.029010401] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.034873488] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532452.038747545] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.054065772] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.060630869] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.066740959] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.073534060] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.079008141] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532452.086001244] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532452.090114305] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532452.093742359] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532452.100678461] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.104175513] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.107941569] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.101189469] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532452.104628520] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532452.110189602] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532452.115091675] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532452.119580741] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532452.127278855] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698532452.130225899] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532452.137515006] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.146424138] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.152756232] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532452.153210239] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532452.159435331] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.166463435] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532452.169219475] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532452.172881530] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.173397537] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532452.177272595] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532452.188741764] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532452.189256772] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.198959915] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.206226023] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.211652103] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.217987197] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532452.225656310] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.230215378] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532452.231034390] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532452.239060509] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.243135569] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.246648621] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.260739830] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532452.261172836] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532452.268691947] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532452.269775963] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532452.274528033] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532452.283040159] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532452.292265296] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698532452.290525270] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532452.294154324] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532452.292267296] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532452.302017440] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532452.308218532] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.314715628] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.320639716] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532452.321580730] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532452.326284799] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532452.328810837] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698532452.332849896] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698532452.335957942] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532452.336485950] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532452.338143975] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [environment-3] [INFO] [1698532452.344080062] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.349458142] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532452.353489202] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532452.355194227] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532452.362866340] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532452.368564425] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.371932475] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532452.379219582] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532452.379980594] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532452.381754620] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.386355688] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532452.388607721] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.393422792] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532452.401335910] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532452.406305983] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532452.408776020] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698532452.412033068] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532452.418183159] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.428536312] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532452.429814331] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532452.439463474] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698532452.439495474] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532452.445784567] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532452.446574579] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532452.451949658] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698532452.459520770] [robot]: Action result: False
