 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-37-18-507263-5b29ef99895f-1
trials-all-1  | [robot-6] [INFO] [1698536256.001967410] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536255.998271305] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536256.002157415] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536256.003383450] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.007267561] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536256.011241673] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536256.007761575] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536256.011630684] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536256.017489850] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698536256.029155181] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.029673196] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536256.053333867] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698536256.055994942] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.057455983] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.066749247] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536256.069038312] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536256.077366548] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.087981849] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536256.091595951] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698536256.093673010] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.096661095] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698536256.100038191] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.107095391] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.111046503] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536256.110531488] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536256.121011785] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.126730947] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536256.131355078] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536256.136207216] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.127599972] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536256.132368107] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536256.140007324] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698536256.145498479] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698536256.146089496] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536256.151704655] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.153485706] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536256.161972946] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536256.165113036] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.170654193] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536256.175082318] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698536256.178976429] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536256.183444555] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.184153575] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536256.200269032] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.199141000] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536256.206422207] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.206939221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.213409405] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.223129680] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.229904872] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536256.235000017] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.236436058] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698536256.240402170] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.240946185] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536256.245417312] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536256.247312366] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.250867467] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536256.260725746] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536256.264834863] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536256.260734746] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.264628857] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536256.269773003] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536256.271392049] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536256.275790173] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.281918347] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536256.283491392] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536256.288739540] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.300642878] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536256.300983888] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536256.304054975] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698536256.314122260] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536256.318462383] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536256.325628586] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.315717305] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536256.320006427] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536256.323934538] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698536256.327654644] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536256.332400778] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536256.332507781] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.347440205] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.353989390] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536256.358551520] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.358900530] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536256.365911728] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698536256.370268852] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536256.371807895] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536256.380935154] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536256.385816293] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536256.390575428] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536256.382477198] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698536256.397034611] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536256.399508681] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.415703140] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536256.430696565] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.434290667] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536256.441805880] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536256.450965140] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.451831164] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536256.453216203] [robot]: Pick up
trials-all-1  | [coordinator-2] [INFO] [1698536256.458556355] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536256.465079540] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698536256.465136541] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536256.467770616] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536256.478544921] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [arm-1] [INFO] [1698536256.478688926] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536256.495919414] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536256.499760523] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536256.503272623] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698536256.510457826] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536256.514699947] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536256.514209933] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536256.522291162] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536256.534207500] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536256.538241614] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698536256.541952719] [coordinator]: The time of execution of above program is:1.7812347412109375
trials-all-1  | [coordinator-2] [INFO] [1698536256.551158980] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698536256.558751195] [coordinator]: ENDSIM
trials-all-1 exited with code 137
