 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-28-19-025542-9c72754b3397-1
trials-all-1  | [arm-1] [INFO] [1698539316.266623763] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.271613694] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.281862553] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.285743500] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.291619419] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.295188370] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.314655103] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.318811046] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.334906824] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.342406721] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.352367584] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.361491459] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.373640292] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.382078176] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.390684058] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.399027943] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.410381787] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.414240734] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.426330568] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.436696425] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.445475305] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.454581180] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539316.459917106] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698539316.470490961] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.474983899] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.486014747] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.494765627] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.499215566] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.502794517] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.509169429] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.512865378] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.531695120] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.538815022] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.546414917] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.554505806] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.565625653] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.574790527] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.586874361] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.595884237] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.605727102] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.614881976] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.625927825] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.629421777] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.643063589] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.651977466] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539316.653794442] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698539316.662884317] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539316.671129203] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539316.680930069] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539316.683047039] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.690983930] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.700708797] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.706343719] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539316.708732686] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698539316.723279487] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539316.726482442] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539316.731228377] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539316.732235363] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698539316.739609262] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539316.745740178] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539316.753460072] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.757515016] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539316.762318950] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698539316.767563878] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539316.768620863] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.774416784] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.782355675] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698539316.785847627] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539316.802660395] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539316.806384344] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539316.812128265] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539316.820311153] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539316.821053143] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539316.826228072] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539316.840615874] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539316.842479848] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698539316.846178797] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.849771748] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539316.868152495] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539316.871604448] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539316.875617393] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539316.879184344] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539316.875650392] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.879527339] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.883467285] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539316.893161152] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698539316.909087933] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539316.896561105] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.907612953] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.911704897] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539316.916933825] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698539316.924769717] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.929256656] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.932665609] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.929675650] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.933182602] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.950080369] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698539316.955699292] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.958107259] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539316.962089204] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.965841153] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.981786934] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.985764879] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698539316.988849836] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698539316.995181749] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698539316.998528703] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539317.005917602] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539317.009608551] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539317.013116503] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539317.005152612] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539317.028419293] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539317.031861246] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539317.036162187] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698539317.049877998] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539317.057082899] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539317.060958846] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539317.064592796] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539317.096015365] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698539317.101119294] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539317.123847982] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698539317.129000911] [coordinator]: The time of execution of above program is:2.37947154045105
trials-all-1  | [coordinator-2] [INFO] [1698539317.151788599] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698539317.157348522] [coordinator]: ENDSIM
trials-all-1 exited with code 0
