 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-32-48-705801-64b1d0ff3c1d-1
trials-all-1  | [arm-1] [INFO] [1698528786.397446801] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.397772805] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528786.402037860] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.406778920] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528786.413870011] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.421494109] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528786.422441121] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528786.425937165] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.434395273] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528786.438436325] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528786.439188335] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698528786.444752406] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528786.446602430] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.449044461] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.453213514] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.465316669] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528786.465621673] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.467090691] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.469390721] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.473107768] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528786.474034780] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.476754815] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528786.477724827] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528786.479128845] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.484687916] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528786.485094922] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.497134075] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528786.503226153] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.506302193] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.511096254] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528786.516663325] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.520136369] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528786.523225409] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.525032432] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698528786.532622529] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698528786.534007547] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698528786.537489591] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.537584593] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528786.540365628] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528786.543006662] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.545474693] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528786.545962700] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.554555809] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.555342820] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.565819953] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.570440013] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528786.579778132] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.579819132] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.587949236] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.593243304] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.594361318] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528786.604596449] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528786.607511486] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698528786.616001595] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528786.620197649] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.621450665] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528786.625665718] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528786.629596769] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528786.631752796] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528786.640982914] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.647954003] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528786.650063030] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.652486061] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528786.653632076] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528786.655998106] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.663058196] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528786.670080286] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698528786.668306264] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.672422316] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.676892373] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.678502394] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528786.683127453] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528786.691928565] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.702135696] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698528786.702278698] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.706509752] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.716946885] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698528786.723678971] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528786.730327056] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.734494110] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.732142080] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528786.735762126] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528786.744961243] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528786.749192297] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528786.745732253] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528786.750008308] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.745726253] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528786.757267401] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698528786.768815548] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528786.773311606] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528786.773357606] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.786004768] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.793901869] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.813011113] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698528786.827651300] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.832950368] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.837231423] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.846158537] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528786.846669544] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.850293590] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528786.857627684] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.867142805] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.876431924] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.877228934] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528786.881099984] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.885964046] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528786.890132099] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528786.895680170] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.898723209] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698528786.903000264] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528786.909191343] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528786.912876390] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698528786.918895467] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.921362498] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528786.935772683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528786.937481704] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.950336869] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528786.955811939] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528786.961605013] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.963391036] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.973687167] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.980029248] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.985294316] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528786.985334316] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528786.990355380] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.991792399] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528786.995686448] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528787.002832540] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698528787.001028517] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528787.007382598] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528787.016590714] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528787.018812743] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.023400801] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528787.033373927] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528787.038795996] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698528787.043018050] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528787.044499068] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.048749122] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528787.057473233] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528787.064904327] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698528787.074595450] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528787.076971480] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698528787.079239509] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528787.085055583] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528787.091593666] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.095883720] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528787.105258839] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528787.111682920] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528787.122352056] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528787.122804061] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.127578122] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528787.144663339] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528787.148207384] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528787.153368449] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698528787.161423551] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.165376601] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528787.162309562] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528787.175044724] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528787.179199777] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528787.203736088] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528787.205576111] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528787.212316197] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528787.213059206] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528787.217095257] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528787.238505529] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698528787.242935585] [coordinator]: The time of execution of above program is:2.322244644165039
trials-all-1  | [coordinator-2] [INFO] [1698528787.246708633] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698528787.267098891] [coordinator]: ENDSIM
trials-all-1 exited with code 0
