 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-13-02-021527-f449453863fa-1
trials-all-1  | [nurse-4] [INFO] [1698531199.452259780] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531199.456680860] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.457916882] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.457889882] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.463020974] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698531199.463676986] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.464301997] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531199.478449251] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.478673255] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.481885313] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531199.483251337] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.489252445] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.497094586] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531199.499720633] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.507583775] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.521873032] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.523508061] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.532492222] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698531199.535135270] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531199.535211271] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.542078395] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531199.545579458] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.547390490] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.549321525] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.554795623] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698531199.555476636] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.555795641] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.562506762] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.570177900] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531199.578080042] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531199.584454156] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531199.593486319] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.594792342] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531199.598659412] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.601913470] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.606694556] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531199.620417803] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698531199.623662861] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.622684843] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.634320053] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531199.641297178] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531199.642244195] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.649339322] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531199.658782492] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531199.661683544] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531199.666756635] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.672078731] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.682052910] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.683290933] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531199.692127091] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531199.699274220] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.701844266] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531199.709848410] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531199.710369419] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531199.717474547] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531199.727023719] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531199.731881806] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.738314922] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.744164027] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.747657089] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531199.752930184] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698531199.756892255] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.769427481] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.785331767] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531199.792179890] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.792507896] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531199.798433002] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531199.804429110] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531199.811299233] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.812335252] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.826709510] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.834283646] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.846502866] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.847900891] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698531199.852839980] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531199.859033091] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531199.864778194] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.874057361] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531199.874342366] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531199.880551478] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.882683516] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531199.894021720] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.906264940] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531199.911606036] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531199.916629126] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531199.918841166] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531199.923396248] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531199.928198334] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.928946348] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531199.935904473] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698531199.952142765] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531199.955969833] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.965029996] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531199.966288019] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.973662151] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.975957193] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531199.977661223] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.988368416] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.001667655] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.008707781] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531200.011804836] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698531200.016809926] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.023506046] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.031845195] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531200.038300310] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.048903500] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.055751623] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531200.061929733] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.068760855] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.076108987] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531200.082196096] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.090907252] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.095811339] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531200.100876430] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.106721535] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.114763678] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531200.120570782] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.129809948] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.135930057] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531200.142265170] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.148466281] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.155678410] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531200.161090507] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531200.161758519] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531200.166365602] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531200.175162759] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531200.183666911] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531200.184458925] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531200.196902148] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531200.201238225] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531200.201952238] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531200.207451337] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698531200.214294459] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531200.213833451] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.217819522] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531200.218079527] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698531200.235355836] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531200.243538982] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531200.244597001] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531200.247947061] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531200.251195119] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531200.264823363] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531200.271102475] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531200.276391570] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531200.280161637] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531200.279447625] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531200.288259782] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531200.288259782] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531200.296399928] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531200.303501055] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531200.308194139] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531200.306400107] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531200.310643183] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531200.316402286] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531200.323253408] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.327421483] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531200.330339535] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531200.336517646] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531200.343231766] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531200.347351839] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531200.351206908] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698531200.361085085] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531200.365194159] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531200.361906100] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531200.368943226] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531200.381702454] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531200.387095550] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531200.389465593] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531200.393537666] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531200.401484808] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531200.407659918] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531200.416589078] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531200.420983157] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531200.424996229] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [environment-3] [INFO] [1698531200.430870334] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531200.434739403] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531200.443580561] [coordinator]: The time of execution of above program is:2.3063066005706787
trials-all-1  | [coordinator-2] [INFO] [1698531200.451005694] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531200.458388826] [coordinator]: ENDSIM
trials-all-1 exited with code 0
