 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-58-12-969545-9a74ea23f73c-1
trials-all-1  | [arm-1] [INFO] [1698533909.948632652] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698533909.952836575] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533909.949851630] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.953810558] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.951513599] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.955323530] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.958163478] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.958201478] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.965323348] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533909.966365329] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.971816230] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.973803194] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533909.978959100] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533909.987221949] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533909.993090842] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.991954863] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533909.998912736] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533909.999599724] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698533910.006743594] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.012925481] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533910.013018479] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533910.021338328] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533910.021387327] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.029452180] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533910.029968171] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533910.036670049] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.048371835] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.049304818] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.055669703] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533910.059595631] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533910.063434561] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.059595631] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533910.063518560] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533910.064628539] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.071576413] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533910.073764373] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533910.081893225] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533910.085551158] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533910.086602139] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533910.097769936] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698533910.100819880] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533910.111449687] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.110748699] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.124058457] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533910.125250435] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533910.127795389] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.131560320] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533910.131647319] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.132964295] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.145634064] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.149166000] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533910.146824042] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533910.150657973] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533910.157150854] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [coordinator-2] [INFO] [1698533910.161433776] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533910.164672717] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.168447649] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533910.170893604] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533910.175287524] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.177033492] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.177932476] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533910.179501447] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.187873295] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533910.191849222] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.195387158] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.196215143] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533910.208186925] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.208320923] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533910.211938857] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.212894839] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.214132817] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698533910.225671607] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533910.226372594] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.226436593] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533910.231397502] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533910.231685497] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533910.237727387] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.243754277] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698533910.247639206] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533910.255454064] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533910.257355030] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533910.250082162] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533910.253726096] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.254027090] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533910.262008945] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533910.262874929] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.264548899] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533910.268898819] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533910.273015744] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.276593679] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533910.274602715] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533910.278310648] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533910.283100561] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698533910.276472681] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533910.280106615] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.284430536] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533910.292101397] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533910.297938290] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533910.298487280] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533910.303304193] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.307194122] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533910.309848074] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698533910.307933108] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533910.311925036] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533910.326726766] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.333633640] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533910.341214502] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533910.346866399] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.341511497] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.351890308] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533910.352070305] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533910.358060195] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698533910.357779201] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698533910.365202065] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.366268046] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533910.370194974] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533910.366466042] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533910.371188956] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533910.373596913] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533910.377602840] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533910.379138812] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.385341699] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533910.390674602] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698533910.384733710] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533910.400880416] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533910.406181319] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.406259318] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533910.413017195] [robot]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533910.414878161] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533910.415138156] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.421609038] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698533910.429018903] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.432881833] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698533910.433198827] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.438623728] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533910.443136646] [robot]: Deposit
trials-all-1  | [coordinator-2] [INFO] [1698533910.448276552] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698533910.460821324] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.461191317] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533910.461497312] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698533910.464761252] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.466829215] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533910.470095155] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533910.475728053] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533910.476777033] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533910.479355986] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533910.489859795] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.490150790] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533910.490715780] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.494900703] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.505728506] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533910.507019483] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533910.510319423] [nurse]: Action: a_open_door
trials-all-1  | [arm-1] [INFO] [1698533910.521156225] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533910.522916193] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533910.530992046] [nurse]: Doing a_open_door
trials-all-1  | [arm-1] [INFO] [1698533910.538146916] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533910.534329985] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698533910.549449710] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698533910.551164679] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533910.555329603] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533910.556669578] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.567916374] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.573495272] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533910.577550198] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533910.581407128] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.587174023] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533910.617880464] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533910.625153331] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533910.642847009] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533910.646205948] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.665467597] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.674390435] [environment]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698533910.677812372] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533910.683869262] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533910.687771191] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533910.692564104] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533910.688114185] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533910.691898116] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533910.700124966] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533910.700634957] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698533910.704523886] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [environment-3] [INFO] [1698533910.712699737] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533910.714241709] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533910.726769481] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533910.730792407] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.734118347] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.745860133] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.762988821] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533910.772458649] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533910.777315560] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698533910.779928512] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.784437430] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533910.799622154] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.808480993] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.820030782] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533910.820595772] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698533910.824766696] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.837324467] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.837796459] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533910.843574353] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533910.851859203] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533910.854064162] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533910.865004963] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533910.874325793] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.878572716] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.880600679] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533910.880530680] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.894123433] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533910.894737422] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698533910.899257339] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.911752112] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533910.913357083] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533910.916224030] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.920247957] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533910.920977944] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698533910.925775856] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533910.938417626] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.942047560] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533910.956410298] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533910.958150267] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533910.966936107] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533910.971178029] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533910.971797018] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533910.982930815] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533910.985971760] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533910.997633548] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533911.003380443] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533911.008469350] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533911.011640293] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698533911.016682201] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533911.023891069] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533911.029312971] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533911.039586784] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533911.045934668] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533911.049391605] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533911.062439367] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533911.067178281] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533911.069220244] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533911.074762143] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533911.078053083] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533911.081469021] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.082466003] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533911.087532910] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533911.093885795] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533911.100651672] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533911.101225661] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533911.108871522] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698533911.113685434] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533911.123530255] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533911.132968083] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533911.137872994] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533911.141972919] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533911.142208915] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533911.146524836] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533911.146793831] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.164703505] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533911.171439382] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533911.174440328] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533911.179192241] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533911.185751122] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533911.187709086] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533911.189022062] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533911.193618978] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533911.194998953] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [arm-1] [INFO] [1698533911.198575888] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533911.204205786] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533911.214419600] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533911.219548506] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533911.227302365] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.233913245] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533911.242631086] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698533911.244120059] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.246851009] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698533911.257785810] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698533911.263055714] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533911.270752574] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533911.283834336] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533911.288703247] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533911.294130148] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.298590067] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533911.300151038] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533911.311669829] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533911.318980695] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533911.331562466] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533911.340854297] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533911.346064202] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533911.348856151] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698533911.362623901] [coordinator]: The time of execution of above program is:2.552095651626587
trials-all-1  | [coordinator-2] [INFO] [1698533911.375261670] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698533911.379128600] [coordinator]: ENDSIM
trials-all-1  | [robot-6] [INFO] [1698533911.388565428] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533911.405027128] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533911.410621027] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533911.416097927] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533911.440216488] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533911.449229323] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533911.468422974] [coordinator]: plans_actions_current 12 of 11
trials-all-1  | [coordinator-2] [INFO] [1698533911.471895911] [coordinator]: The time of execution of above program is:2.6716623306274414
trials-all-1  | [coordinator-2] [INFO] [1698533911.481759731] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698533911.557557351] [coordinator]: ENDSIM
trials-all-1 exited with code 0
