 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-10-46-153452-c150328173d6-1
trials-all-1  | [nurse-4] [INFO] [1698531063.812634144] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531063.817004249] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.824540432] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531063.823760413] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531063.832833633] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.845406938] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.845501940] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531063.852261104] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.852701114] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531063.853598136] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.862548353] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531063.868522497] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.869674525] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531063.875840675] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531063.879512764] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.876380688] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531063.883905870] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531063.887829965] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531063.885733914] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.887887967] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.897580201] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531063.898629227] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698531063.907832450] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531063.906857426] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531063.920667761] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531063.918184701] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.925730883] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531063.935180112] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.937941179] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531063.942310285] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.944391335] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.952998544] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.954809588] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531063.960697730] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.967116886] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531063.970135959] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531063.974610067] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531063.978457161] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.979304181] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531063.984156299] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531063.987051369] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.991104467] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698531064.001718724] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531064.004258786] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.004461790] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.013370005] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.019499153] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.028838379] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.029395392] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531064.032961478] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.033833499] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.045895790] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.050293896] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531064.054262992] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.055528023] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531064.061429165] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698531064.062958202] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.066906297] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531064.071041397] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698531064.073956467] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531064.078228570] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531064.080090615] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531064.082308669] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.086922780] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.091497891] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531064.100458107] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.113933432] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.123613665] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.133053893] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531064.133355900] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.137135992] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.145327189] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.147367239] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531064.151255332] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.153162378] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.158554508] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531064.160782562] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.167993736] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.173064859] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.182078076] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531064.185824166] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531064.194289371] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531064.198659476] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531064.199381494] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531064.206720671] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531064.211916796] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.213084824] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.216864915] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.216963918] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698531064.223007064] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.226408146] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531064.234039330] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531064.240820493] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.254135815] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698531064.254330819] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.260932979] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531064.273448281] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.277861387] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698531064.283617526] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531064.287360616] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.290113683] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531064.290974704] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.297142852] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531064.300851942] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.308026115] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531064.316486319] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.320997428] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.321167432] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531064.326705566] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.331063671] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531064.335750784] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531064.342051936] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531064.345783026] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531064.343887980] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531064.347736073] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.348588094] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.354684241] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.359272352] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531064.357591311] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [environment-3] [INFO] [1698531064.361580407] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.370477622] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531064.375065733] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.384884970] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531064.386700013] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.390601107] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531064.398173290] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531064.402709400] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.404425441] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.409564565] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531064.413090650] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698531064.414800691] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531064.426464973] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.430162062] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531064.430675074] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531064.436795222] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531064.448988516] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531064.453486625] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531064.456509698] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531064.460249788] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.456812705] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531064.460340790] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.459723775] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698531064.463295861] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531064.467149954] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.471478059] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531064.470921045] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698531064.482573327] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531064.486591424] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.496467662] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531064.501373780] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531064.499279730] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531064.506265898] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.507121919] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531064.514280092] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531064.518979205] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.526532387] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531064.533503556] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.537980664] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531064.529051448] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531064.533502555] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.534397577] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531064.538133667] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531064.548364914] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531064.548589920] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531064.557334131] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.562686260] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.567077366] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698531064.572542497] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531064.577111608] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.573064510] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.582879747] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.587513859] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531064.587640862] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531064.593217996] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.601471195] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.605712298] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698531064.606931327] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531064.612574463] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531064.613847494] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531064.619229624] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698531064.630504896] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531064.639089103] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531064.650361375] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531064.655256493] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.673023922] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531064.677389027] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531064.685160215] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531064.690734349] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531064.697655516] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531064.709003790] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531064.714299918] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531064.718488019] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531064.722740122] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531064.734075395] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531064.740767557] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.745595673] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531064.745923681] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531064.758229978] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531064.769802257] [coordinator]: The time of execution of above program is:2.4276208877563477
trials-all-1  | [coordinator-2] [INFO] [1698531064.773506346] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531064.783454586] [coordinator]: ENDSIM
trials-all-1 exited with code 0
