 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-37-23-578111-e1c80603563a-1
trials-all-1  | [arm-1] [INFO] [1698529061.482272934] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529061.487521135] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529061.487683141] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.493185352] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.501932687] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.504287778] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529061.506127848] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529061.511547056] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529061.515204196] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529061.521474436] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698529061.511602058] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.515285199] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.525284582] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.539844140] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529061.548192460] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529061.549640516] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.554817714] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.556894794] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.562462007] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.568609243] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.571199342] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.578041604] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.592602162] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.599918443] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.601901519] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698529061.610650854] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.617976135] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.625790434] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529061.625868437] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529061.631117638] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529061.631160640] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529061.645961207] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529061.648496304] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.657948666] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529061.663101864] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529061.664176905] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529061.673616267] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698529061.674483300] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529061.681911585] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.687571802] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529061.692130976] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529061.696375139] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.701507336] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529061.702099358] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698529061.712797768] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.721635107] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529061.726526295] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529061.732443521] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.733748571] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.737502715] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.742704915] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.746843073] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.749568178] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.759592562] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.769622946] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.775210160] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529061.779398321] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529061.783213467] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.793723870] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.799250082] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.809201463] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.813886642] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.814374661] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698529061.819804869] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.820727905] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529061.825707095] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.833216383] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.837345541] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.849377003] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.856171263] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529061.861244457] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.862650511] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529061.873742936] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529061.881038216] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529061.883242300] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.885192375] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.887162451] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.893976712] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529061.894869746] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529061.897971865] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.908595272] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.912635427] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529061.913408456] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529061.917849627] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529061.920172716] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529061.929576076] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529061.934901280] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529061.937804391] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.945098671] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.951931933] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.957206135] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529061.959534224] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.963505376] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529061.969040588] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.981248056] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529061.985280211] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529061.985697227] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529061.986683265] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529061.994570567] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529061.998926734] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698529061.999264747] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.999586759] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529062.008608104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529062.012303245] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698529062.013992310] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529062.029822914] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529062.039306276] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529062.041955377] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529062.045348507] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529062.047134575] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529062.054663862] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529062.058644014] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529062.067811364] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529062.072039526] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529062.068653396] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529062.072091528] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529062.070054450] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529062.081074871] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529062.088566157] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698529062.092408303] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529062.095642427] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529062.104646770] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529062.105042786] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529062.112279062] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529062.117351255] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529062.127280635] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529062.131358790] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698529062.139710109] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529062.140574142] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529062.144802303] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529062.150067504] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529062.163190005] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529062.168572211] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529062.174418434] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529062.185145844] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529062.190113033] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529062.198410350] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529062.202944523] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529062.206450657] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529062.208429733] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529062.217952096] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529062.226532424] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529062.227494460] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529062.240432954] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529062.244762120] [coordinator]: The time of execution of above program is:2.2156269550323486
trials-all-1  | [coordinator-2] [INFO] [1698529062.248934279] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529062.252798426] [coordinator]: ENDSIM
trials-all-1 exited with code 0
