 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-20-59-05-909941-89636c7e4409-1
trials-all-1  | [robot-6] [INFO] [1698526763.878522155] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526763.887459051] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526763.891247007] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.898294925] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.902960871] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.912693758] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.916385715] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526763.914109741] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526763.917951696] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526763.922217647] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526763.926457597] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.932739524] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.937596468] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526763.933645514] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698526763.946759361] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.954362273] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.958783221] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526763.962610177] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.967581119] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698526763.972210065] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698526763.981518957] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.986033904] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.998370761] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.008779639] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.016739544] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.024887448] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.037489299] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.050063150] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.068415934] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698526764.071393898] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698526764.075904845] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698526764.080971785] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698526764.085848727] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.091239664] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.089981679] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526764.094568624] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526764.114866384] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526764.117481353] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698526764.122057299] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.135728138] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.153554927] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.158060874] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.168550750] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.172767700] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.180602607] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526764.192370468] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698526764.198186399] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.208799274] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.213664216] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.227535052] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.232188997] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.240885895] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.260128667] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.270097549] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.274604496] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.282837399] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.287096348] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.300039195] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.310236075] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.324099911] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.329398848] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.342091698] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.352324577] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.365563421] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.377358281] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.395176071] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.399801016] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526764.400992002] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698526764.417217810] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.421595758] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.417994801] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526764.422350749] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526764.436139586] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.450780413] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526764.450941411] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698526764.470222183] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.475102126] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698526764.485399004] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698526764.489272958] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698526764.485862999] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.490295946] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.503441791] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.519877596] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.528846490] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.533267438] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526764.543718315] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526764.547616269] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526764.550882230] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.555541175] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.562096097] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.566759042] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.575155943] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.579379893] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.586140813] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.590540761] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.596916686] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.601017637] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.610207529] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.617592441] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526764.622302386] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.626234339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.632787262] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.637009212] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.645279114] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526764.651796037] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698526764.655665991] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526764.657350971] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526764.661162926] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526764.664049892] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698526764.676208748] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698526764.682141678] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.689611590] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.693956539] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526764.699464473] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526764.715983278] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698526764.716794269] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.726025159] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526764.728464131] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526764.734592058] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.743562952] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526764.753741832] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526764.759738761] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526764.763483717] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698526764.762105733] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.767155673] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.784873464] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526764.788731418] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526764.787922428] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.792015379] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.801131272] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698526764.798804299] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.802607254] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.808359186] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526764.817338080] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526764.822647017] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698526764.832797897] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698526764.835122870] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526764.837883837] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526764.846916730] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526764.851091681] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698526764.867115491] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526764.872634426] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526764.896177148] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698526764.904438050] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526764.909607989] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526764.913528943] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526764.927710775] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698526764.943041594] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526764.949208521] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526764.973081239] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698526764.978535174] [coordinator]: The time of execution of above program is:2.707028388977051
trials-all-1  | [coordinator-2] [INFO] [1698526764.984432105] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698526765.007797828] [coordinator]: ENDSIM
trials-all-1 exited with code 0
