 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-47-05-742740-783fe770ee6d-1
trials-all-1  | [nurse-4] [INFO] [1698533243.070554037] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.076707970] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533243.081662916] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.087685850] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.096290757] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.102096694] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.114635557] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.121191486] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533243.126908424] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.132772360] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.141978260] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.148258192] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.162082041] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.167545982] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533243.173089922] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.178482863] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.186725773] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.193029705] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.203423592] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.209119530] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.209317528] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533243.221707393] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698533243.222274387] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533243.229576308] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533243.229819305] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533243.230370299] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533243.234645252] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533243.238557210] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.236615231] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.240742186] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.249260093] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.253389049] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.258231996] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533243.266797903] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533243.270841859] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533243.271053856] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.274701817] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.279348766] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.289327658] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.292287626] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533243.302115519] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.304840489] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698533243.309832435] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533243.309490439] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.316559362] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.329178224] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.333759175] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533243.333374179] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.334941162] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533243.337529134] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533243.340189105] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.341961085] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533243.343900064] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.344770055] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533243.356630926] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533243.361466873] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533243.367726805] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698533243.370593774] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.375031726] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.382019650] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533243.393215528] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.393835521] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533243.393790522] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533243.403330418] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533243.403732414] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.403795413] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533243.411653328] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.413198311] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533243.418758250] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533243.424046193] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.431645110] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.435549068] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533243.435698066] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533243.443040986] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.448996922] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.450871901] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.452049888] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533243.457168833] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533243.458220821] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.463853760] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698533243.467763717] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533243.468776706] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533243.469347700] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.469843695] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.475717631] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.479181593] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.481476568] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533243.482062562] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533243.488923487] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.492047453] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533243.497221397] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533243.502625338] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.497631393] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698533243.503757326] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533243.509658262] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533243.518968161] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533243.519221158] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533243.520547144] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.527714066] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.533163006] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533243.537847955] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.542825901] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533243.549025834] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533243.546089866] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.549875825] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533243.546689859] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.550629816] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533243.548188843] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533243.554209777] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.557992736] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533243.558558730] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533243.568991617] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.570682598] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533243.575383547] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533243.587197419] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698533243.580353493] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.581814477] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.585546437] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.586328428] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.591507372] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.599667283] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.603402243] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533243.602332254] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533243.602400253] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.604475231] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533243.608399188] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.609282179] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533243.615060116] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533243.616580099] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.618144082] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533243.623035029] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.626721989] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698533243.630477948] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.632338928] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533243.641503828] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533243.654612686] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533243.657937650] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533243.658295646] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533243.664273581] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533243.666104561] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.670072518] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533243.670540513] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698533243.675085463] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533243.681380395] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533243.689211309] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533243.689447307] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533243.694965247] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533243.698583208] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.702710163] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533243.708483100] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.713415046] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533243.714817031] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.720257972] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.730534860] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.731803846] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.737075789] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.743233722] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533243.745073702] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533243.746120691] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533243.753045615] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533243.753729608] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533243.759543545] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533243.764464491] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.767094463] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698533243.768605446] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.769894432] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698533243.770163429] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533243.776587359] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533243.776873356] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.778512338] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698533243.783447285] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.786455252] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.793743173] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.802119082] [robot]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533243.809389003] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533243.812220972] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.815663934] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533243.817371916] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533243.820807879] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533243.823546849] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.827488806] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698533243.840141668] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533243.849276569] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533243.852435535] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698533243.853637522] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533243.858077473] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.858342470] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533243.862254428] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.865082397] [nurse]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698533243.865177396] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533243.868975355] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698533243.870487338] [nurse]: Doing a_open_door
trials-all-1  | [robot-6] [INFO] [1698533243.878918247] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533243.883578196] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.887016159] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698533243.891052115] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533243.895220069] [robot]: Doing a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533243.900323014] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533243.901855997] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.904931964] [environment]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698533243.906694945] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533243.910446904] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533243.911273895] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533243.914703858] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533243.924938746] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533243.929392698] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698533243.929581696] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533243.935143635] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533243.936383622] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533243.936653619] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533243.940525577] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533243.944238536] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533243.945489523] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533243.953455436] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [nurse-4] [INFO] [1698533243.957464393] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533243.961710346] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533243.966201298] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698533243.971046245] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533243.981493131] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533243.984505099] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698533243.987255069] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533243.989772041] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533243.992241014] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533243.995375980] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533244.000187928] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.004426882] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533244.015107766] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533244.019542717] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533244.021136700] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.021987691] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533244.026055646] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533244.027181634] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533244.041383480] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698533244.050490380] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.059179286] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.066105210] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.069407174] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533244.076605096] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533244.080237057] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533244.085473000] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698533244.087073982] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533244.102953809] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.111294718] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.112131709] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533244.112850701] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533244.120554618] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533244.125079568] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.133298479] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533244.139379413] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.149957298] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533244.150026297] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533244.161326174] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533244.168030101] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.175575019] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.182061948] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.187198892] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.189770864] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698533244.195745799] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698533244.205933688] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533244.211502627] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533244.217688560] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.223780494] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.231132414] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.236361357] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.245755255] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533244.245864253] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.249414215] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533244.255792145] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533244.257085131] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533244.260999089] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.266393030] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.266459029] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533244.271250977] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533244.281404866] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533244.288515789] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533244.288691787] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533244.295253716] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533244.296143706] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698533244.309171564] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.318362464] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533244.318551462] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533244.323054413] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533244.330953327] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533244.335254280] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533244.339035239] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533244.336812263] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.340306225] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.344973174] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533244.351758101] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533244.356415050] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533244.359795013] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698533244.357361040] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.361589994] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533244.369670906] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533244.375968837] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533244.379985793] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533244.385723731] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533244.389642688] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.385604732] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.390059684] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.394071640] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698533244.415370408] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533244.422944326] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698533244.434367201] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533244.434498200] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698533244.441222127] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533244.442978107] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533244.448285050] [robot]: Doing a_pick_up_sample
