 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-52-48-931489-90b1993b550f-1
trials-all-1  | [coordinator-2] [INFO] [1698537186.714294500] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698537186.733342344] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.734793408] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537186.741782718] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698537186.756716379] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.762266625] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698537186.768842916] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.780223420] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.781276467] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537186.788700796] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537186.798312221] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537186.798587234] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537186.803455449] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.804045475] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537186.812125833] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537186.817499071] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537186.821510249] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698537186.820012182] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.825929445] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.834155809] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537186.834289815] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537186.838138985] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537186.840866106] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537186.853766677] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537186.859963952] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.869004352] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.872832522] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.881159891] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.887472170] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537186.895184512] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537186.902289826] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.911362228] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.918637550] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.928069968] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.936255331] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537186.946506785] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537186.958472315] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.966179656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.980005268] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.988258634] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.991927796] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.994089892] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.997356037] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537187.003044289] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537187.006798454] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.014402790] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537187.015082820] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537187.018876988] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537187.019239004] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537187.024766248] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698537187.042528033] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537187.030991523] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537187.035063703] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537187.039149884] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.034755690] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537187.038611860] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537187.048899315] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537187.060179813] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537187.060412823] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537187.060503827] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537187.081187741] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537187.085042911] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698537187.093478284] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537187.105016794] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537187.108773960] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537187.105455813] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537187.109382987] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537187.107552906] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537187.111224068] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537187.120272468] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537187.123836625] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.121183508] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537187.125112682] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537187.123470609] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537187.134468095] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698537187.142313442] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537187.146461625] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537187.150424800] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537187.152967912] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537187.160859261] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698537187.164525423] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537187.168909617] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537187.172288766] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537187.175718917] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.172126759] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.176698961] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.196616841] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698537187.198237912] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537187.201901074] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537187.204768201] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537187.216932738] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537187.223781041] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698537187.231076363] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537187.235813572] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537187.232754437] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537187.237050627] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537187.233315462] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537187.237339640] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537187.248931152] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537187.250608226] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537187.254526399] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537187.254702407] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537187.259597623] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537187.269324053] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698537187.277364408] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537187.281771603] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537187.296848269] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537187.301357468] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537187.309060809] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537187.309881845] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537187.315256082] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537187.325189521] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [environment-3] [INFO] [1698537187.316190124] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537187.330600760] [coordinator]: The time of execution of above program is:2.169668197631836
trials-all-1  | [coordinator-2] [INFO] [1698537187.336399016] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698537187.341553244] [coordinator]: ENDSIM
trials-all-1 exited with code 0
