 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-04-38-190572-cbffe901c557-1
trials-all-1  | [nurse-4] [INFO] [1698537895.117691920] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.121359965] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.114963886] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537895.118910935] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537895.135628141] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537895.136076147] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537895.144112246] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.144589252] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.155940392] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537895.156632401] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.163447485] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.170718575] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.173086604] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.177488658] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.183074727] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.177583659] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.183771736] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537895.189434806] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537895.191590833] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537895.198962924] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537895.200801946] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537895.203346978] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.213633105] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.217814157] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.219232174] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537895.226241261] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.229180297] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.231559326] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537895.236532388] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.243826478] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537895.248197532] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537895.248964541] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.250996566] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537895.255004616] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537895.262273706] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.266448757] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.259042666] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537895.263042715] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537895.271432819] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537895.276184878] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698537895.275928874] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537895.284627982] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.289388041] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.287225014] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.293819096] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537895.298916158] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537895.303822219] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537895.307429264] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.314486351] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.317340386] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537895.327110507] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537895.331621563] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537895.338822652] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537895.338905653] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.343334707] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.354930851] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.359112902] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537895.366126989] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.366840998] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.376178113] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.377531130] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537895.379920159] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.390379288] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.394193336] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537895.406456487] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537895.407502500] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537895.410594538] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.412957567] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.414791590] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.419710651] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.419747651] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537895.419884653] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.429277769] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.431832801] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.433942827] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.438019877] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.438759886] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537895.442013926] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537895.447288992] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.451321041] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537895.455400092] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537895.455698095] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.459584143] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.468969259] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.477283362] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.483954445] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.490342523] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.492325548] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.494617576] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.498571625] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.499223633] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537895.502650676] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.505608712] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.514032816] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698537895.520681898] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.533097052] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.535519082] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.536332092] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537895.537178102] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537895.544560193] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.553800307] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.554779320] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.559458377] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698537895.563117423] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.563166423] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537895.569070496] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.573386549] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537895.581411649] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537895.585649701] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537895.590338759] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698537895.596963841] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.597255844] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537895.604221930] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.614668059] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537895.615808074] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.621463143] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.621790147] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.630840259] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.633464292] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.634991311] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537895.637650343] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537895.638876359] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.639124362] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537895.643739419] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.651919520] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537895.656136572] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.658507601] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537895.667057707] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698537895.674418798] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698537895.682970903] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537895.687493959] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698537895.691370007] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537895.693087028] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537895.695266055] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537895.701623134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.702423144] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537895.704928175] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537895.710776247] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.713027275] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.718081337] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537895.719351353] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537895.720560368] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537895.721895384] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537895.724230413] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537895.726854445] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537895.729310476] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537895.740815618] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537895.743636653] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537895.747863705] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537895.745241673] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537895.753048769] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698537895.753587776] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.761927879] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.763888903] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537895.766298933] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.769759976] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.776111054] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537895.778302081] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537895.781818125] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537895.784338156] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537895.786341180] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698537895.788397206] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537895.789411218] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.798417330] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537895.798800334] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537895.800660357] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.803092387] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.804372403] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.811922496] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.817258562] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537895.817584566] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537895.820999609] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537895.826717679] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537895.829480713] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537895.833531763] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537895.833851767] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.841546862] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537895.844559900] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.845261908] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537895.848824952] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537895.851251982] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698537895.854328020] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537895.857483059] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537895.857682062] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537895.868237192] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.869856212] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.878295316] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.882269366] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.885775409] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698537895.887808434] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.893756507] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.896117537] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537895.902547616] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537895.907547678] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537895.909926707] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537895.912993745] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537895.923730878] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.929979955] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.936268033] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.941816101] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537895.945256144] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537895.952814237] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698537895.957681297] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537895.959434319] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698537895.960416331] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537895.963240366] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537895.963468369] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698537895.971532468] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537895.973755496] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537895.977769545] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537895.979460566] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698537895.989702693] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537895.994353750] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537895.998591803] [nurse]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698537896.001222835] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537896.007642914] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537896.011268959] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537896.014425998] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537896.015333009] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [nurse-4] [INFO] [1698537896.020396072] [nurse]: Doing a_open_door
trials-all-1  | [robot-6] [INFO] [1698537896.023930115] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.029725186] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.043801360] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.049150426] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537896.049910435] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537896.053681481] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537896.057446528] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537896.056587517] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.060977571] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537896.064093610] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537896.067538652] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537896.071671703] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537896.078357785] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537896.081879829] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537896.084113856] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698537896.089086917] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537896.099651048] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698537896.101069065] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537896.101630072] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537896.104721110] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537896.107786148] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537896.110823185] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537896.114588232] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537896.120625306] [environment]: Action: a_open_door
trials-all-1  | [arm-1] [INFO] [1698537896.121498317] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.128661405] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.133795468] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537896.141324561] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537896.145742615] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.153731714] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537896.154333721] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698537896.165824863] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537896.169607909] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537896.172529945] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.179880036] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.183533081] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.197959258] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.203869331] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537896.210018407] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537896.216075481] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.225559598] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.235602722] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.247647870] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537896.251380916] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698537896.253027936] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537896.256815983] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537896.259364015] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537896.264610079] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.274071196] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.279204259] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.288600375] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.299114504] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537896.307258604] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537896.313804685] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537896.313888686] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537896.323323802] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537896.323554805] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537896.332396914] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537896.338838993] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537896.342859043] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537896.340763017] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537896.344914068] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537896.347794104] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537896.349469124] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537896.357310221] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537896.361533273] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698537896.358298233] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537896.368636360] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.383921549] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537896.397580717] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537896.403876794] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537896.411009882] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537896.411691891] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537896.415667939] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537896.418996980] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537896.434117167] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698537896.434936177] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537896.439658235] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537896.440469245] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537896.448617345] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537896.455310428] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537896.455407429] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537896.466244562] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537896.475847681] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537896.479764729] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537896.467617579] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537896.475815680] [arm]: not ready
