 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-07-34-317163-b476fea30866-1
trials-all-1  | [arm-1] [INFO] [1698534471.604511585] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.610847404] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.614370304] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.623435046] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.627816922] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.631607814] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.636114686] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534471.639006604] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534471.641749526] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.645362423] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.655314140] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.659553019] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.663540906] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.667526793] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534471.671391683] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534471.673648619] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.677723503] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.686911242] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.690702134] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.695874987] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.699503883] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.705916701] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534471.708144638] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698534471.709938587] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.717804363] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.721817249] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.732606942] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534471.736163841] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534471.738233782] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.742241668] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.748599487] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.752216385] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.760502149] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.764459036] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.770467866] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.774317756] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534471.778374641] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698534471.780250587] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.784285473] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534471.791758260] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534471.794486183] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698534471.796588123] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534471.807648808] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534471.811483699] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534471.816652552] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.820228451] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.831719124] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.842014831] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.846039717] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534471.849303624] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534471.853292510] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534471.856920407] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698534471.855133458] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.858915351] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.871252000] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.874718901] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.872838955] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534471.879520765] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534471.887740531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.892709390] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.906657993] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.910324889] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.913933786] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534471.908926929] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698534471.912685822] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534471.917357689] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534471.920390603] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534471.925448459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.933504230] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.950234754] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.953952648] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.957788539] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.961957421] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.954524632] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534471.957997533] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534471.966664287] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534471.970254185] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534471.968759227] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.972134131] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.991312586] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534471.997030423] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698534472.001476297] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534472.004796203] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534472.008099109] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.004829202] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534472.008557096] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534472.014159936] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534472.017688836] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534472.028012543] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534472.031913432] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534472.034128369] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534472.037961260] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534472.055055774] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534472.070799327] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534472.075366197] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534472.081078035] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.090649763] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534472.094255661] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534472.094194662] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698534472.107251291] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534472.115243064] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.118839962] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.122217866] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698534472.132800565] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534472.136169470] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534472.138366407] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534472.142046303] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.154378952] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534472.154550947] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.158710829] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698534472.165178645] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534472.168994537] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698534472.181783173] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698534472.185426070] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534472.191344902] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534472.197007741] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.201427615] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534472.216344191] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534472.229591815] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534472.234709670] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534472.240349509] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698534472.249708243] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534472.254319112] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534472.258516993] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534472.262404883] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534472.284815246] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534472.289949100] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534472.295564940] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698534472.316574343] [coordinator]: The time of execution of above program is:2.0162136554718018
trials-all-1  | [coordinator-2] [INFO] [1698534472.321545202] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698534472.326678056] [coordinator]: ENDSIM
trials-all-1 exited with code 0
