 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-24-57-743216-863159eb9f07-1
trials-all-1  | [environment-3] [INFO] [1698531915.057606797] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531915.057601797] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531915.059080844] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531915.063515985] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.070070194] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.074037320] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531915.078012446] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698531915.083540622] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531915.088401777] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531915.099241121] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531915.100436159] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531915.102516225] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531915.113821585] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.118715741] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531915.118898747] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698531915.133929225] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531915.137327333] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531915.144749569] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531915.154315873] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.165850240] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.170290381] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531915.168103312] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531915.171767428] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531915.169073342] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531915.173037468] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531915.180931720] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531915.187706935] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531915.186813907] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.191935069] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.200270335] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531915.212619727] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698531915.215723826] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.227862212] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.231591331] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531915.231591331] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531915.232322354] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531915.237951533] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531915.238046536] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531915.238509551] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.249712907] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.255215082] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.259436216] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531915.265868421] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531915.270129556] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531915.269016521] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.272663637] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.275905740] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.289900185] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.299698497] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.306308707] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.318590098] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.325417315] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.331737516] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.338548733] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.345542955] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.350415110] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.361690469] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.369747725] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.377111959] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.383332157] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.390159374] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.394640517] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.405177852] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531915.409788998] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531915.409973004] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.418350271] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.419081294] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531915.421335366] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531915.423566437] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531915.423865446] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531915.427660567] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531915.430062643] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698531915.439022928] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531915.443035056] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.448010214] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531915.465971785] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531915.469698904] [robot]: Doing a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531915.451026310] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698531915.457104503] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.461141632] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.465397767] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.468911879] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531915.466438800] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531915.470250921] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531915.474009041] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531915.477920165] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531915.499785861] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531915.499786861] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531915.503752987] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531915.506123062] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531915.518832467] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531915.522539584] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531915.526672716] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531915.519510488] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531915.523280608] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531915.527166732] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.533956948] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.540532157] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531915.543802261] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.544982298] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698531915.550180464] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.555348628] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698531915.562010840] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531915.571000126] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.575218260] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.581846471] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531915.558308722] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531915.562475855] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531915.565199941] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531915.572158163] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531915.596048922] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531915.599857044] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531915.603582162] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698531915.614173499] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531915.619193659] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531915.621502732] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531915.626167880] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531915.641588371] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531915.645958510] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531915.654864793] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531915.659725948] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531915.664110087] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698531915.670448289] [coordinator]: The time of execution of above program is:1.9827923774719238
trials-all-1  | [environment-3] [INFO] [1698531915.676463480] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531915.681389637] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698531915.684819746] [coordinator]: ENDSIM
trials-all-1  | [environment-3] [INFO] [1698531915.802125477] [environment]: Action: monitor
trials-all-1 exited with code 0
