 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-06-472512-b30a049c2ef3-1
trials-all-1  | [environment-3] [INFO] [1698529884.301662311] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.308396398] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.311195434] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529884.316195499] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.324925612] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.326387631] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529884.333163719] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529884.337103770] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698529884.341050822] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529884.354892001] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529884.362737103] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529884.364811130] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.365415138] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529884.368142173] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529884.373497243] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529884.373909248] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529884.375019263] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529884.381413346] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529884.385212395] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698529884.382124355] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.391321474] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.394100510] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.407221680] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.408328695] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.411764739] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.426214927] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.427814948] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.432725011] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.434636036] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.439340097] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.443114146] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529884.454227290] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.460298369] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.461346383] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.464309421] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698529884.465439436] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529884.465480437] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.470088496] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529884.474077548] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529884.479870623] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529884.482723660] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529884.491668776] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.494774817] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529884.498751868] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.505637958] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.509260005] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.495250823] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529884.505643958] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529884.507548982] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.511144029] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.523267186] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529884.526067223] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529884.529240264] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529884.531248290] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529884.537386370] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529884.538702387] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.543078444] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529884.542962442] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529884.552086560] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529884.552215562] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529884.556618619] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.560737673] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.561634684] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529884.568771777] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.574799855] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.579356914] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529884.576376876] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.579690919] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.581235939] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.585418993] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.589122041] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529884.593591099] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529884.592096080] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.596110132] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.597783154] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698529884.606163262] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.610917324] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.606465266] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529884.614287368] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529884.620673451] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529884.622687477] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529884.628483552] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.634018624] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.638058676] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.636508656] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.648925817] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.637843673] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529884.632681606] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529884.657765932] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529884.667039052] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529884.674910154] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698529884.677745191] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.683722269] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.700109482] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.710668619] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529884.703654528] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.708243587] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.709946609] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.717826711] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529884.721916765] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.725638813] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.719627735] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529884.723673787] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529884.727264834] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529884.727830841] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.734855932] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529884.737208963] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529884.741953025] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529884.748567110] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529884.749910128] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.761974284] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.765883335] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529884.768687372] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698529884.774834451] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.778486499] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.776726476] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529884.780209521] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529884.785623591] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.790012648] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.793651695] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.797623747] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.803570824] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698529884.798797762] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.808508888] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529884.812789944] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.817184001] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.824820100] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.829861165] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.838254274] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529884.839160286] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.843530343] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.846145377] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529884.855872503] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529884.860544564] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529884.870585694] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.875210754] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529884.872045713] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529884.876962777] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698529884.882023842] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.886750904] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529884.884328872] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698529884.891808969] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529884.896341028] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698529884.899418068] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.903154117] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529884.915998283] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529884.920324339] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529884.923241377] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.927576434] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.934738527] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529884.935453536] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.939230585] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.948964711] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.956688811] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.959163843] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.974786046] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.980472120] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.989300235] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.996848333] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.007037464] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.019026619] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.023622678] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529885.029792758] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.037091852] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.042957928] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.053670066] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529885.056893107] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698529885.062161175] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.067802248] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529885.074139330] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.082052432] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.087121497] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.097273628] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.104505721] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.109885790] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529885.114315848] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.122085948] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.126425004] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.135791124] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.141951204] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529885.146861267] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529885.148140284] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529885.152771343] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529885.159003424] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.162050463] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529885.165815511] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529885.171314582] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.174764627] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529885.171900590] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529885.184832757] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529885.191639844] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529885.196542908] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.200437958] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529885.205320021] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529885.214054133] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529885.215486152] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.218303188] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529885.249647592] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.254369653] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529885.259840724] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529885.266657812] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529885.271404873] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529885.277950957] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529885.281678005] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529885.287268077] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529885.288362091] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529885.301551261] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.307027332] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529885.308460350] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698529885.311461389] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.326064577] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529885.331023641] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529885.334182682] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529885.339222747] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529885.340003757] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529885.352338916] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.357390981] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529885.357690985] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529885.360757025] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529885.364837077] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529885.371777167] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529885.374438201] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.377956246] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529885.379082261] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529885.387994376] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529885.397350496] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529885.400322535] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529885.402123558] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698529885.405460601] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529885.416061738] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529885.418996776] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698529885.423075828] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529885.424540847] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529885.425632861] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529885.429346909] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529885.432045944] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529885.441673068] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529885.446942136] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529885.457490272] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529885.465050369] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529885.474548492] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529885.479670558] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529885.481844586] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529885.486655648] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529885.486734649] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529885.492491723] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529885.501561840] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529885.506930909] [coordinator]: The time of execution of above program is:2.8269269466400146
trials-all-1  | [coordinator-2] [INFO] [1698529885.511877973] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529885.516349031] [coordinator]: ENDSIM
trials-all-1 exited with code 0
