 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-15-57-484825-47b81f4a8266-1
trials-all-1  | [environment-3] [INFO] [1698531374.704582427] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531374.704762429] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.716416583] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.720631638] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531374.730146764] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.733812812] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531374.734866826] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531374.739815891] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698531374.741025907] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.744983959] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.753655073] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.756029105] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531374.758797141] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531374.762586191] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531374.764473216] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531374.771009302] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.775107356] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.776383373] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531374.781843444] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531374.783492466] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698531374.786264503] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531374.787110514] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531374.791126567] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531374.791250568] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.794037605] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531374.799409676] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698531374.805372754] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.806084764] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.814058869] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.818174923] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531374.820313951] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531374.826447032] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.830856090] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.835029145] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531374.838172186] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531374.855038409] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531374.855988421] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.865401545] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698531374.870317610] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.874294662] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531374.884595798] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531374.886210819] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.886447822] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531374.887730839] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531374.896621956] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531374.899877999] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698531374.901929026] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531374.915544205] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531374.916996225] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.928484376] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.928943382] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531374.939482521] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531374.939922526] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.947101621] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.949099647] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.951810683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.953061700] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.957198754] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.957561759] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.961792815] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531374.966356875] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.966606878] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531374.971329940] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.975674997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531374.982382086] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.983771104] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.984048108] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531374.996464271] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531374.998148293] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531375.000971331] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531375.001960344] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.008474429] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531375.014920513] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531375.016120529] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531375.019052568] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531375.020217583] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531375.027206674] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531375.030032711] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698531375.030967724] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.031165726] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.036599797] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.037452809] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531375.042698877] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.046882932] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531375.049626968] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698531375.055077039] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.059194093] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.062985143] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531375.065965182] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531375.069808232] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.078808350] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.086660453] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531375.096294579] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531375.105942706] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531375.120361895] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.128474001] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531375.128605003] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531375.140254155] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.147180246] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698531375.155285352] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531375.149157272] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531375.151128298] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.155170351] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531375.152724318] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531375.156854373] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531375.158817398] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531375.159621409] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.165052480] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.169300536] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.165499486] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698531375.169338536] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531375.173356589] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698531375.179445669] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.194227862] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531375.197964911] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.205601011] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531375.207631038] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531375.215329139] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531375.221081214] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531375.225380270] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531375.212107096] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531375.215479141] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531375.218921186] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531375.222451232] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531375.214267125] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.217940173] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.221612221] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.229423323] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531375.235331401] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.245511534] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531375.244038515] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531375.260365728] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531375.262627758] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.272869892] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.275795931] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.280059986] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.282859023] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531375.288571098] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.294814180] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531375.298322226] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531375.304713309] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531375.308245356] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531375.304175302] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531375.307677348] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531375.305472319] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.310098380] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.316915469] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.320760520] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531375.306263330] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.310098380] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.320823520] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531375.335821717] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698531375.337235735] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.336615727] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.347935876] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698531375.357459000] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.363643081] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531375.364099087] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531375.372236194] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531375.377011256] [nurse]: Action: a_open_door
trials-all-1  | [environment-3] [INFO] [1698531375.365134101] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.373519211] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.377479263] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.383081336] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.374148219] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531375.384386353] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531375.389307417] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.391775450] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.392072454] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531375.395002492] [nurse]: Doing a_open_door
trials-all-1  | [environment-3] [INFO] [1698531375.397449524] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.415063755] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531375.418921805] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.425883897] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [environment-3] [INFO] [1698531375.432044977] [environment]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698531375.432078978] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531375.437452048] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531375.437706051] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531375.440199084] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.445449153] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531375.448975199] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698531375.461080358] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531375.461421362] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.462933382] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.469257465] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531375.464912408] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531375.482142634] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.486746694] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698531375.490820747] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.497928840] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.499192857] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531375.506239949] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698531375.508695981] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.513256041] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.517484096] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.519077117] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531375.524786192] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531375.530842271] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.531310278] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531375.535277330] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.541769415] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531375.553724571] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.557982627] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531375.566772742] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.572583818] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.575427855] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531375.577975889] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.588632028] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531375.592466079] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698531375.590386051] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.595015112] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.599033165] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.602856215] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.603631225] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531375.613623356] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.618242416] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.627367536] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.630762580] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698531375.634058623] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.636580656] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.649871831] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.657917936] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.668743078] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698531375.670366099] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.678390204] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.683581272] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.691847380] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.697791458] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.708682601] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.714257674] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.719885748] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531375.724408807] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531375.725000815] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.732315911] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.737873983] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.746497096] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.753813192] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.758916259] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.764139327] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.770879416] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.776490489] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.785837612] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.791839690] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531375.802439829] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531375.809115916] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531375.802950836] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.806927888] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.810759938] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531375.810213931] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531375.817247023] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531375.824124113] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531375.833404235] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.838448301] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.839090309] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.837244285] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698531375.849455445] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.854967517] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531375.859043570] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531375.862655618] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531375.853040492] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531375.857308548] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531375.872877752] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531375.879688841] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531375.880985858] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531375.890589984] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531375.898831092] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531375.905624181] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.912283268] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531375.916582324] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.921071383] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.921112384] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531375.930908512] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531375.937664600] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.938265608] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531375.940706640] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531375.943148672] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531375.949901761] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531375.951835786] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531375.956177843] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.957313858] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531375.960399898] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698531375.972756060] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531375.981793178] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531375.988956272] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531375.989448279] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531375.994058339] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531375.994070339] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531376.005023483] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531376.008549528] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531376.005603490] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531376.008962534] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531376.016340630] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531376.023218720] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531376.028825793] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531376.030557815] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531376.036263890] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531376.040324942] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698531376.041783961] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531376.049719065] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531376.053766118] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531376.057521166] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531376.065568271] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531376.071573350] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531376.075150396] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531376.072339359] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531376.077344425] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698531376.073564375] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531376.096566675] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531376.101744743] [environment]: Action: monitor
