 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-16-44-262055-dadaf566a0d8-1
trials-all-1  | [nurse-4] [INFO] [1698535021.652807742] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535021.652969740] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.665533550] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.680188329] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535021.682650291] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535021.689196193] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.692127148] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.705587945] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.708371903] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698535021.710659868] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535021.717152770] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.717445766] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.725696641] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.729243588] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.730652567] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.733064530] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698535021.737010471] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535021.741468403] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535021.741970396] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.745987335] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535021.752854231] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535021.756994169] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698535021.762617084] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.768155000] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.771298953] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535021.771927943] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.785896732] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.800185517] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.806117427] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.806630419] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535021.810113367] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.824042156] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.828288092] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.833468014] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535021.836823963] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.845526832] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698535021.849467772] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.849715769] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698535021.861254594] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535021.866953508] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535021.868368487] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.872576424] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698535021.878756330] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.885794224] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.886542213] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.896957055] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535021.887386200] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.900301005] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535021.902141977] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535021.907135902] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.915436776] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.920921694] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698535021.921346687] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535021.924895634] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.942586366] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535021.946009315] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535021.953957195] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535021.959264115] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535021.964122041] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.970132950] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535021.970391947] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.975117875] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535021.970858939] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698535021.982813759] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535021.985604717] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.997711534] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535022.005304419] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.007114392] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.015749262] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535022.020481190] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.025436115] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.031051030] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.032924002] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535022.043480843] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535022.053588690] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535022.054047683] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535022.057688628] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535022.059598599] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535022.064887519] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535022.069067456] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698535022.074294377] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.078976306] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.078108320] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.082266257] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.100396983] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535022.100459982] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535022.106186895] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698535022.109907839] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535022.112735796] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.117084731] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.128400560] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535022.142267350] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.151358213] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.155407152] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.161757056] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698535022.166111990] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535022.168322957] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.170158929] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698535022.182533742] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535022.182864737] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535022.187580666] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535022.195600545] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535022.195600545] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698535022.199929479] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.200353473] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535022.200574470] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535022.212549289] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698535022.220830164] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.223175128] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535022.234147962] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.238417898] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535022.242530836] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.246954769] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.251177705] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.258682592] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535022.266525473] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535022.272518383] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.275759334] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698535022.276723319] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.279897271] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535022.283708214] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535022.284609200] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.302622928] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535022.314916742] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535022.316182723] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.316660716] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698535022.319151678] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535022.320387660] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.335868426] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535022.339520371] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535022.344691293] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535022.345597279] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.346099271] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.349487220] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535022.354105150] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698535022.365268982] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535022.368670930] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698535022.377585796] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535022.386971654] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535022.387899640] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535022.392695567] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535022.392749567] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.395338527] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698535022.398284483] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.413144259] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698535022.417939186] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.418364180] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535022.418779173] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535022.426721053] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535022.432240970] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698535022.432430967] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.433586950] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.444753781] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535022.452659662] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535022.454483634] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698535022.464161488] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535022.471282380] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.473198351] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535022.475038324] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535022.476532301] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.479173261] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.490801085] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698535022.496554998] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.500020946] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535022.500341941] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.505256867] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535022.509676800] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.510219792] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.515014720] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.524578575] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698535022.532533455] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.537023387] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.532873450] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698535022.540567334] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698535022.548385216] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535022.553300141] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698535022.562915996] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.567835922] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535022.577496776] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.581131721] [robot]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535022.595683501] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.600530428] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535022.605594351] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535022.612989240] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535022.618583155] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535022.630454976] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [environment-3] [INFO] [1698535022.634945908] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535022.638279858] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535022.648673701] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535022.658822547] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535022.671464356] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535022.679684232] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535022.685749141] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535022.691361056] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698535022.695468994] [coordinator]: The time of execution of above program is:2.3897128105163574
trials-all-1  | [environment-3] [INFO] [1698535022.697283966] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535022.703003880] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535022.712978729] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698535022.717031668] [coordinator]: ENDSIM
trials-all-1 exited with code 0
