 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-50-39-806488-9f7d31ec3450-1
trials-all-1  | [nurse-4] [INFO] [1698537054.534152131] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.533574125] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.537553164] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.543650223] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.551517299] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.562400405] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.562391405] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537054.566419444] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537054.566690447] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.566865448] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537054.586134635] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537054.591661689] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.593144703] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.601243782] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537054.605344822] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537054.603845807] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.603834807] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.609042857] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.610743874] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537054.615084916] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537054.622361987] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698537054.625172014] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.634181101] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.638843147] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.641149169] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.645279209] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.645260209] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537054.657032323] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.660163353] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.661378365] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537054.673489483] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537054.678278529] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.678349530] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.679299539] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537054.688837632] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.695570697] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.701904758] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.704818787] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.710317840] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.717857913] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.722301956] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.726116993] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.730386035] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537054.730784039] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537054.734884078] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.735714086] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698537054.744044167] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537054.746480191] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.747943205] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537054.753816262] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.758509308] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537054.754430268] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537054.758938312] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.763009351] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.767852398] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.779131508] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537054.788712601] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.791155624] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.795667668] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.798720698] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537054.806286771] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537054.808757795] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.813674843] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537054.817946884] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537054.820014904] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.833362034] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537054.837273072] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537054.834602046] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.838479083] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.844226139] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.845009147] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.848267178] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537054.849286188] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537054.849412189] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537054.858970282] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.859345286] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698537054.861239304] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.862349315] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.870892398] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537054.874280431] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.884814533] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537054.886993554] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.888144565] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537054.891477598] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.897501656] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.911021787] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.916031836] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.918840863] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.921191886] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537054.926094933] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.930088972] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.926292935] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.930387975] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.927276945] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.934281013] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698537054.937608045] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.946945136] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.947377140] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537054.952768192] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.954630210] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.958529248] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537054.962540287] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537054.966519326] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.966424325] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.968094341] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537054.972236381] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.973492393] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698537054.981748473] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537054.985492510] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537054.991472568] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537054.991634569] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.997339625] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537054.998394635] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537054.998226633] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.007931727] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537055.008049728] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537055.018495829] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537055.020898852] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.022926872] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698537055.026301905] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537055.034694986] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537055.041072047] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.045428089] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537055.047030105] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.053945172] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537055.065279281] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537055.065430283] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.065799286] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.070531332] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698537055.071622342] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537055.071622342] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537055.081382437] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537055.086408485] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537055.090458524] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537055.087757498] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698537055.096561583] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.099302610] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537055.103357649] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537055.109559709] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537055.109957713] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537055.117205783] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537055.117215783] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537055.121190821] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698537055.124765856] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698537055.129577902] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.129633903] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.133578941] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.136630970] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.147636077] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537055.148341083] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.152494124] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537055.153693135] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.160287199] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537055.163139226] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698537055.165246247] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537055.170671299] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.173292324] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537055.175841349] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537055.176479355] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.178706377] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698537055.181277402] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.188004467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.192948514] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.194640531] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698537055.202867610] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.204643627] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537055.207454654] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.214066718] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537055.220010776] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.222618801] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537055.229959872] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.233324904] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537055.233601907] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.236141932] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537055.240018969] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.246733034] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537055.251248078] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537055.254801112] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537055.256104124] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.260560167] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.265527215] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698537055.269551254] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537055.274161299] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537055.274548303] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537055.279685352] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537055.289754449] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537055.292772479] [nurse]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698537055.297442524] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537055.298691536] [nurse]: Doing a_open_door
trials-all-1  | [robot-6] [INFO] [1698537055.302541573] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537055.304918596] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.306110607] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698537055.308928635] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537055.310872653] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.323781778] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537055.328512824] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698537055.328833827] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537055.331646854] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537055.338397919] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.342005954] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698537055.351637047] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.355154081] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537055.357576105] [environment]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698537055.358978118] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537055.361049138] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.374344267] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537055.379008312] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537055.381608337] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698537055.389629414] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537055.399295508] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537055.406029573] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537055.414093651] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.415169661] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.426861774] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537055.429611800] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.440262903] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698537055.444244942] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537055.453987036] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537055.455828054] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.469373185] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698537055.470810198] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.482569312] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537055.488726372] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698537055.492039404] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537055.497440456] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.498606467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.514917625] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537055.516772642] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698537055.520864682] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537055.531320783] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537055.538368851] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537055.544073906] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537055.544319909] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.551683980] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.554193004] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698537055.556081022] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.565001108] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537055.573500190] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.585736309] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698537055.587890329] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.594841397] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537055.594968398] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.600207448] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.602708473] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [environment-3] [INFO] [1698537055.612715569] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.620170641] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537055.623370672] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.625353691] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537055.629293729] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537055.638380817] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698537055.642463857] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.643355865] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537055.648464915] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.648923919] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537055.666262086] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537055.673742159] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537055.675113172] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.684781265] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.688587302] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.687539292] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537055.693501350] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537055.704683458] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.716204569] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.731000712] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698537055.734926750] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537055.746868865] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537055.750334899] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.752406919] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.756708960] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537055.758620979] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.766239052] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.776861155] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.780685192] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537055.784865232] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537055.785645240] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.819238564] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537055.826210632] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537055.831013678] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537055.835091717] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [arm-1] [INFO] [1698537055.832634694] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537055.836253729] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537055.840048765] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.842800792] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.846888831] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537055.859607954] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537055.864894005] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698537055.870215057] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537055.870524060] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537055.877485127] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.891393261] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698537055.896847314] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537055.904052383] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698537055.910128442] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537055.914506484] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537055.914840488] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537055.920425542] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537055.928424619] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537055.935429687] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537055.943377763] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537055.944359773] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.949207820] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [environment-3] [INFO] [1698537055.950155829] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537055.961505938] [coordinator]: The time of execution of above program is:2.533339262008667
trials-all-1  | [coordinator-2] [INFO] [1698537055.965534977] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698537055.969495016] [coordinator]: ENDSIM
trials-all-1  | [robot-6] [INFO] [1698537055.978447102] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.982935145] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537055.990879222] [robot]: success
