 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-15-52-379743-132a60d39ac7-1
trials-all-1  | [arm-1] [INFO] [1698542167.395673990] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.401878731] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.408607449] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.412736277] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.415653155] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542167.420965933] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.425515742] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542167.432023470] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542167.432193463] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.436120299] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.438496200] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698542167.443002011] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.447743813] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.456889431] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.465798058] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542167.470472863] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698542167.477196581] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.481649395] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.486897176] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542167.488609104] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698542167.493637894] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542167.494597854] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542167.498349697] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.507547312] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.511089164] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.517754885] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542167.519528811] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542167.528910419] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542167.533518226] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542167.538703010] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.546230695] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.550174530] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.553800378] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698542167.558548180] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.562554012] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.569526721] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.569701713] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542167.573563552] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.576218441] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698542167.579936285] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.584000115] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.593826705] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.604201271] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542167.608538089] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542167.614154855] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.618619668] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.622490506] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542167.627298305] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542167.629002234] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.633026065] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542167.634912987] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542167.642560667] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.646695494] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.654442170] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.658312008] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.664901733] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542167.666318673] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542167.670210511] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.681788027] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.685256881] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542167.696769400] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542167.700390249] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542167.703528117] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.708078927] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.714526658] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.718478492] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.718732482] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698542167.722910307] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542167.727081133] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.731027968] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.737713688] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.742105504] [arm]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.761515693] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.746551318] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698542167.749257205] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.753360034] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.765616521] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542167.776899050] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542167.782691807] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542167.786956629] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542167.791577436] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.799407108] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542167.801742011] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.810575641] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.816962374] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.823306109] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542167.832864709] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542167.839269442] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.843495265] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.847989077] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.852639882] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.861077530] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.866262313] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.861902495] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698542167.879198772] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.885337515] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542167.914362302] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.920929027] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.933896485] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.938404296] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698542167.950452792] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.957914480] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.963654240] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698542167.978122635] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.985348333] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698542167.986939267] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.995269918] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.999107758] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542168.004559530] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542168.015292082] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542168.037133170] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542168.043510904] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698542168.053207499] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542168.058112294] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542168.063960050] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542168.087048086] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542168.109060167] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542168.117376819] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542168.141116828] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698542168.146869588] [coordinator]: The time of execution of above program is:2.074864149093628
trials-all-1  | [coordinator-2] [INFO] [1698542168.152889337] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698542168.179460227] [coordinator]: ENDSIM
trials-all-1 exited with code 0
