 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-52-28-299266-6d4810dc8dda-1
trials-all-1  | [robot-6] [INFO] [1698540765.949962285] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698540765.954755166] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.965866890] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540765.970068786] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698540765.973775694] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540765.974774669] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.978224583] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.979911541] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.990354282] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540765.999285060] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540765.999285060] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540766.000822022] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540766.004851922] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540766.005694901] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540766.006885872] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.013344711] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.014264689] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540766.015234665] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540766.019811551] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540766.020042545] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698540766.026784378] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540766.030301291] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698540766.036203145] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.037027124] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698540766.047889855] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.055301671] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540766.060163550] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.062896483] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698540766.066262399] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540766.073804212] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698540766.073798212] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.083541971] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540766.087382876] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540766.091225780] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540766.087879863] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540766.091622770] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540766.103441477] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540766.104823443] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540766.108285357] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540766.109818319] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540766.113693223] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540766.117863120] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698540766.116048165] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.122490005] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540766.132470757] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.138986596] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.139457584] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540766.146660406] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540766.148688355] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.152967249] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540766.156359165] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.164989951] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.174105725] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.175222697] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.178814608] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.181126551] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540766.193542243] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.197461146] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.196394172] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540766.201760039] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.210090833] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.214260729] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540766.211306803] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540766.214907713] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540766.219768593] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540766.223880491] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.238940117] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540766.241949043] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698540766.252374784] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540766.259122617] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.259791600] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.261753552] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698540766.267022421] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.273679256] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.281459063] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540766.283168021] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.291562812] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.305204474] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.307002430] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698540766.314460245] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540766.320203102] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540766.323500020] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540766.325246977] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.332524797] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540766.337411676] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540766.338227655] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.346037462] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.354114261] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540766.361463079] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698540766.362165062] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.367451931] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540766.378025668] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.381783575] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540766.381783575] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698540766.383362536] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540766.386889449] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540766.395599233] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540766.395998223] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.403827029] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540766.405628984] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698540766.408239919] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.417159698] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540766.429801385] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540766.438343173] [robot]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540766.440435121] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540766.445689991] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.441242101] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540766.446186978] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.457228704] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540766.463592547] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540766.465264505] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540766.469287405] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540766.469749394] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.482469079] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.486075989] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540766.497650702] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540766.503548556] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540766.505742501] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.505884498] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540766.510496384] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540766.510977372] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.517121219] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540766.518003197] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698540766.519657156] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.525368015] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540766.526136996] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698540766.534970777] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540766.548778434] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540766.557660214] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540766.562816086] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698540766.568555944] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.569440922] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540766.572199853] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.573577819] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.586818491] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.591233381] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540766.595994263] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540766.601506127] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540766.602686097] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540766.608496953] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540766.613305834] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.620174664] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540766.621242637] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540766.626580505] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540766.626614504] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540766.638869200] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540766.640539159] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698540766.650463913] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.657413740] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540766.659660685] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.668408468] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540766.670431418] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.673623338] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698540766.674877307] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.681685139] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698540766.690686915] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698540766.697222753] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540766.704188580] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540766.708521473] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.705022560] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540766.708904464] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.724129086] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540766.727835994] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540766.742446632] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540766.750348436] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540766.757398261] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540766.763572108] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698540766.771735905] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540766.777700758] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540766.782586636] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540766.790474441] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540766.797922256] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698540766.810763938] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540766.815964809] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540766.824721592] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540766.828579496] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540766.832305404] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698540766.843382129] [coordinator]: The time of execution of above program is:2.418774127960205
trials-all-1  | [coordinator-2] [INFO] [1698540766.851464928] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698540766.859330733] [coordinator]: ENDSIM
trials-all-1 exited with code 0
