 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-53-44-862308-6009a5b08e9f-1
trials-all-1  | [arm-1] [INFO] [1698533642.415181614] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533642.412864686] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533642.416917561] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533642.422930374] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.424475326] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.425423296] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.432107089] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533642.438109903] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.438156901] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533642.440293835] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.444208713] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.452850445] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.444649700] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.450167528] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.454173404] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698533642.454607390] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533642.458578267] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533642.459493239] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.470619893] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.478808639] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.485168441] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698533642.489699301] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698533642.485432433] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.491594242] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.494797143] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533642.506585777] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.512316599] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533642.508780708] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533642.519286382] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.520686339] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533642.526389162] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533642.530293040] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.538005801] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.544584597] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.548970461] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698533642.547018521] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.551059396] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.558392168] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.562221049] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.558265172] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533642.562412043] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533642.586620292] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533642.588389237] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.592545108] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.596375989] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.602235807] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533642.600795851] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533642.604522736] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.608937599] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.614738419] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533642.609796572] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533642.613748449] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.621492209] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698533642.631601895] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533642.632251875] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533642.638224689] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.639114662] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698533642.644566492] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.647263409] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.662112948] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533642.674289570] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698533642.678767431] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533642.694634938] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533642.700359760] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533642.701683719] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533642.710246453] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.714325327] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.712880371] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533642.720697129] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.725113992] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.726176959] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.741477483] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533642.755368052] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.756416020] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698533642.765059751] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.769315619] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533642.768434647] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.775537426] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.779109315] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.783047193] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533642.769841603] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.776917383] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698533642.784093160] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533642.809645367] [robot]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533642.814467217] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.825320880] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533642.826224852] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698533642.832446659] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533642.836284540] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.847871180] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533642.851077081] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533642.857980866] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.861826747] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533642.858690844] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.862853715] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.862768718] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533642.878295235] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533642.887042964] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533642.889561886] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.892723788] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.895730694] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.905604388] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.909297273] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698533642.908969283] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.914034126] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.917956004] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.918340992] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533642.920125937] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.922643859] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533642.933005537] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533642.934320496] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.950233002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.950998978] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.954778861] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533642.962616617] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533642.968181445] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533642.973121291] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533642.976760178] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.982643996] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698533642.985003922] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.989531782] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.993453660] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.997076548] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.995070610] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.998774495] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533643.006565253] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.998903491] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533643.002815369] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533643.016747937] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698533643.019297858] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698533643.029240550] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533643.033199427] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533643.030560509] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533643.039372235] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533643.030757502] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698533643.037570291] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533643.047792974] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533643.051769851] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533643.048097965] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533643.051831849] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533643.063050501] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533643.070085282] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533643.073618173] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698533643.088249719] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533643.091951604] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533643.096093476] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533643.107135133] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533643.113510935] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533643.117425814] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533643.113677930] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533643.117326817] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533643.126153543] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698533643.134043298] [coordinator]: The time of execution of above program is:2.0984926223754883
trials-all-1  | [coordinator-2] [INFO] [1698533643.138393163] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698533643.142247044] [coordinator]: ENDSIM
trials-all-1 exited with code 0
