 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-11-23-312915-3ffd609af231-1
trials-all-1  | [robot-6] [INFO] [1698538300.937039777] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.943287746] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.946438731] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.947518725] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.960088663] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.964388641] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538300.967875624] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.972596600] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538300.976424581] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698538300.979205568] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.980779560] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538300.987392527] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538300.992403502] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538300.996660481] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538300.996666481] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698538301.000369462] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.004527441] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.008439422] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.015309388] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538301.029787316] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.034423293] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538301.036533282] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.038640272] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.038718271] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698538301.040902260] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698538301.052987200] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698538301.053421198] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538301.057121179] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538301.059036170] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.069020120] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.073028100] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538301.081475058] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538301.085599037] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538301.093918996] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538301.100041965] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538301.100925961] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538301.105381939] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538301.111485908] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538301.113021901] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538301.115266890] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538301.118345874] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538301.122272855] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.123321849] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.132429804] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538301.139364770] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698538301.147298730] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538301.152553704] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538301.153617698] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.158039676] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.171525609] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538301.176081587] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.179743568] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.183536549] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.184721543] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.196323486] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538301.200582464] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.204394445] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538301.207020432] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698538301.211026412] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538301.211821408] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538301.214895393] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.223538350] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538301.227073332] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538301.228181327] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538301.237976278] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698538301.242319256] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538301.242374256] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538301.250071218] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538301.250174217] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.254160197] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.260597165] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538301.261631160] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538301.264712145] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538301.269352122] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698538301.273143103] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.274227097] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538301.288021029] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538301.299864970] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538301.309666921] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538301.315536892] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.319314873] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.315891890] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538301.319345873] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538301.325718841] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538301.329787821] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538301.326103839] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538301.329942820] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.335326793] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538301.338665776] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538301.340812766] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538301.344037750] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698538301.355952690] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.356517687] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538301.359711671] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.365040645] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [arm-1] [INFO] [1698538301.362858656] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538301.370308619] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.378012580] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538301.378518578] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538301.382241559] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698538301.397505483] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538301.397917481] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698538301.403021456] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538301.405078445] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.408970426] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538301.420541368] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538301.429338324] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538301.437349284] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538301.450313220] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538301.458555179] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698538301.467176136] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538301.472737108] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538301.479810073] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538301.484459050] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538301.493744003] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538301.506137942] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538301.512487910] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538301.516251891] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538301.518890878] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538301.524235851] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538301.534389801] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698538301.538887778] [coordinator]: The time of execution of above program is:2.1634552478790283
trials-all-1  | [coordinator-2] [INFO] [1698538301.542445761] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698538301.560815669] [coordinator]: ENDSIM
trials-all-1 exited with code 0
