 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-57-112199-cde39b1f0fca-1
trials-all-1  | [arm-1] [INFO] [1698532754.919759971] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.927692866] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532754.931686813] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698532754.943957651] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.948311594] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532754.947399606] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698532754.952378540] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532754.956336488] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532754.954075517] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.961993413] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.974078253] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532754.978245198] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532754.986475089] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.990379038] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532754.994526983] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532754.990659034] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532754.994669981] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532754.998401932] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698532755.006339827] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532755.015079712] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532755.030552507] [arm]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532755.050603242] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532755.054570190] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532755.034154459] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532755.038148407] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532755.036517428] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532755.040802372] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532755.068449006] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532755.077153891] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532755.081693831] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532755.084157798] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532755.097836618] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532755.111743434] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532755.122034298] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532755.122113297] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532755.125845247] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532755.126296241] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698532755.142575026] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532755.146615973] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532755.151268911] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532755.159622801] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532755.166255713] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532755.170492657] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532755.174496604] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.180920519] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532755.185176463] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532755.189438407] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532755.204140212] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532755.207893163] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532755.213914083] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532755.219985003] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532755.223741953] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532755.227483904] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532755.238376760] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698532755.247591638] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532755.251774583] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532755.262587440] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532755.264255418] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532755.268248365] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532755.268958356] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.273499296] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698532755.277647241] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532755.283298166] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.295246008] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532755.298133970] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.299086957] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.304963880] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532755.309077825] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698532755.319725685] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698532755.319903682] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698532755.324223625] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532755.328731565] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532755.346406332] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.350669275] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532755.354456225] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532755.389751759] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532755.394843692] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532755.415932413] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698532755.425987280] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532755.431048213] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532755.446004015] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532755.451075948] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532755.463884779] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532755.469374706] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532755.474669636] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698532755.478802582] [coordinator]: The time of execution of above program is:1.9764089584350586
trials-all-1  | [coordinator-2] [INFO] [1698532755.482354535] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698532755.549070653] [coordinator]: ENDSIM
trials-all-1 exited with code 0
