 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-15-50-229820-f5f65865cf80-1
trials-all-1  | [robot-6] [INFO] [1698538567.511227127] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.521142071] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.526755038] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.532992003] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538567.538231973] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.546282926] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.552854889] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.562991830] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.568766797] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.574426765] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538567.582563718] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.594756648] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.599229623] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538567.608708568] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698538567.611314553] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538567.614399536] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538567.623136485] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.626923464] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.630279444] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698538567.630703442] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698538567.634367421] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.640037388] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538567.641975377] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538567.642201376] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538567.646310352] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538567.647541345] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.656781292] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.659529277] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.665010245] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.665339243] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.669097222] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.669115222] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538567.677070176] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.677287175] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.686008125] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538567.687204118] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.689946102] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.695524070] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538567.696305066] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538567.699743046] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.710377985] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538567.714371962] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538567.712912970] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.716997947] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.719197934] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538567.721645920] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538567.726847890] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538567.729631874] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538567.735062843] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.738773822] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.749067763] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698538567.749356761] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.753210739] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.751023752] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.754884729] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538567.758220710] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538567.762774684] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538567.766769661] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.770641639] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538567.768459652] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538567.772415629] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538567.772372629] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698538567.785970551] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538567.789047533] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538567.790512525] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538567.791447520] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.798872477] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.804082447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538567.799052476] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.801659461] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698538567.812621398] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.817252372] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.827073315] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.834271274] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.835712266] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538567.839355245] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538567.840843236] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.848664191] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.853380164] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.856744145] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538567.858837133] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.864197102] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.869841070] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.880423009] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538567.886469975] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.887743967] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.893980931] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538567.896260918] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.898021908] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.904417872] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538567.907363855] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538567.917087799] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.923494762] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.930787720] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.933331706] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698538567.936544687] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538567.940145667] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538567.941441659] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.946386631] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.952757594] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538567.956142575] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538567.961972541] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538567.965907519] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538567.963651532] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.967534509] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538567.976401459] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.983792416] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.991748370] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.993561360] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538567.994630354] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538567.999994323] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538568.009112271] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698538568.009282270] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538568.012174253] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538568.017229224] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538568.023111190] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538568.029619153] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538568.038157104] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.040665090] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.044155070] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538568.045331063] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.054747009] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538568.064472953] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538568.071983910] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538568.076310885] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698538568.081158857] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538568.086105829] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698538568.086676826] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538568.090758802] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538568.095041777] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538568.100802744] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.105104720] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538568.109495695] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538568.111594682] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538568.112895675] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.120087634] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.124563608] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.127766590] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538568.129216581] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538568.133848555] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538568.138200530] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538568.145795486] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698538568.146431482] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538568.146553482] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538568.154754435] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538568.161459396] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538568.162113392] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538568.162624389] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538568.175887313] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698538568.177454304] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.179592292] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538568.180044289] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538568.184258265] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698538568.184627263] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.194222208] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.198651183] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538568.203662154] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538568.208821124] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.211492109] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538568.213541097] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538568.219204065] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.222888043] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538568.223298041] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538568.228554011] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538568.232982986] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538568.234007980] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698538568.236083968] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.240992940] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.245928911] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538568.251787878] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538568.254325863] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538568.258080841] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538568.262352817] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538568.263417811] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698538568.269966773] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.274555747] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538568.279204720] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538568.281536707] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538568.294716631] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538568.300637597] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538568.305808567] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538568.308243553] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.315832510] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.326139451] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.329109434] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.330956423] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698538568.333529408] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.336174393] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538568.340960366] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538568.349967314] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538568.357843269] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698538568.361826246] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538568.370397197] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698538568.373673178] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.378837148] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538568.388733091] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538568.395217054] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538568.402088015] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538568.403823005] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538568.404465001] [nurse]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698538568.409690971] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538568.413180951] [nurse]: Doing a_open_door
trials-all-1  | [robot-6] [INFO] [1698538568.414536943] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.430014854] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538568.433139836] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698538568.436749816] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538568.441528788] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538568.441720787] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.445644765] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538568.445962763] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.446327761] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.452999722] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698538568.453488720] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538568.465951648] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538568.467216641] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.471310617] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.475114595] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698538568.480038567] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538568.490075509] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538568.486828528] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538568.499979453] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538568.501721443] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538568.511205388] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698538568.509819396] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.521532329] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.531580271] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538568.538450232] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538568.545666190] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.550454163] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.561843097] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.567072067] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.572326037] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.577269009] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.584269969] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538568.589460939] [environment]: Action: a_open_door
trials-all-1  | [robot-6] [INFO] [1698538568.589557938] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.601781868] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.607542835] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.612699805] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.617912776] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.624333739] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.628426715] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.636875667] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.641225642] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.648435600] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.652648576] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.658855540] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.662893517] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.671297469] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.676002442] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.680405417] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.684520393] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.693155344] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.698840311] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.707296262] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.711695237] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.715701214] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.719956190] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.728034143] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.733994109] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.745037046] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.750093017] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.755279987] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.760884955] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.767803915] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.772985885] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.776730864] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538568.787065804] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.791482779] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538568.790640784] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698538568.796647749] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538568.798014741] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538568.802118718] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.810395670] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.815585641] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.820809611] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.824990587] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.826390579] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.837104517] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538568.841202494] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.845937466] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.853599422] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538568.856496406] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698538568.858503394] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.861489377] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538568.866878346] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538568.870984323] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538568.881971259] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538568.882280258] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538568.886504233] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538568.886551233] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538568.891148207] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.900322154] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538568.900461153] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538568.905884122] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538568.918168052] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538568.921467033] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.915030070] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.926320005] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538568.931869973] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698538568.936106949] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538568.941498918] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538568.941617917] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538568.949603871] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538568.959715813] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538568.966964771] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538568.971076748] [robot]: Action: a_approach_arm
