 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-13-37-258600-ea34c33decf9-1
trials-all-1  | [robot-6] [INFO] [1698538431.815520475] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538431.826142413] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538431.827932402] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.829898391] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698538431.835375359] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698538431.836616352] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.840525329] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538431.841330324] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.844043308] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698538431.850426271] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538431.854488248] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.856390237] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538431.860758211] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538431.867812170] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.868611165] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.876872117] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698538431.883208080] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.887083058] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.892705025] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.902915966] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.903570962] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538431.911941913] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538431.916583886] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698538431.920598863] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538431.928529816] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538431.928726815] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538431.937959761] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [environment-3] [INFO] [1698538431.940153749] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.949029697] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.956513653] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.965710600] [robot]: Action: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538431.967257591] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.969849576] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538431.972114563] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.973971552] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538431.980728512] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.989242463] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.990242457] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538431.995949424] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538432.001297393] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538432.006242364] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538432.006953360] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538432.014177318] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698538432.021803273] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538432.022086271] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538432.026282247] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698538432.028125236] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.036598187] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538432.036898185] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538432.040584164] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538432.050832104] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538432.056093073] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698538432.061977039] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538432.075452960] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538432.080001934] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538432.099403821] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.107235775] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538432.110935754] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538432.132473628] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538432.138433593] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538432.142856568] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538432.144569558] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538432.153975503] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538432.158438477] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538432.154216501] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.165180437] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538432.176950369] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538432.186140315] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538432.187887305] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538432.191586284] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [environment-3] [INFO] [1698538432.188674301] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538432.192820276] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.194213268] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538432.198193245] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538432.207521191] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.208261186] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538432.211940165] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538432.211943165] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.230659056] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538432.231706050] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698538432.234517033] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538432.248895950] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538432.255033914] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538432.255648910] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538432.264943856] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538432.266990844] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538432.269940827] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538432.274870798] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538432.278765775] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.275211796] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538432.279759770] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538432.278090779] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698538432.282075756] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538432.287886722] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538432.291332702] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698538432.291732700] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538432.299727653] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538432.308589602] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.308826600] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538432.313612572] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538432.316074558] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538432.321987524] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538432.322118523] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.327167493] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538432.330334475] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.331443468] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538432.333003459] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538432.345183388] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538432.345652386] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538432.349303364] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538432.356888320] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538432.360458299] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [environment-3] [INFO] [1698538432.357750315] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.363575281] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538432.372053232] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538432.373610223] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538432.379595188] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.379737187] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.383098167] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538432.386158150] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538432.386767146] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.387356143] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698538432.395359096] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538432.400110068] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698538432.406908029] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538432.411117004] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538432.412855994] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698538432.420684948] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538432.427268910] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538432.438683843] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538432.458792726] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538432.467110678] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538432.471119654] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698538432.479055608] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538432.484143579] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538432.488420554] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538432.504019463] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538432.509679430] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538432.513769406] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538432.516414390] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538432.520826365] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698538432.524343344] [coordinator]: The time of execution of above program is:2.0491528511047363
trials-all-1  | [coordinator-2] [INFO] [1698538432.533811289] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698538432.540731249] [coordinator]: ENDSIM
trials-all-1  | [environment-3] [INFO] [1698538432.612762829] [environment]: Action: monitor
trials-all-1 exited with code 0
