 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-21-17-089230-78d050c2f786-1
trials-all-1  | [environment-3] [INFO] [1698528094.553856561] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.562193159] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.566623008] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.573718368] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.579150409] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.588109126] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.592457959] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.599049222] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528094.603459067] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528094.610981509] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698528094.615894451] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.620412317] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528094.621422510] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698528094.624929182] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528094.637233540] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528094.649435879] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.659513810] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.673113417] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.677626282] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.681671057] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.685946876] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.698312246] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.709574404] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.723617096] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.731045519] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.735999469] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.741784577] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.754228962] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.760154098] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.770855149] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.775681074] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.780473992] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.785367930] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528094.787603359] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528094.799364613] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528094.803781459] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.804864667] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.805958876] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698528094.812033041] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528094.816382874] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528094.808871435] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.812944215] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.817635114] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.826197755] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.828972287] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528094.830153513] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528094.835821600] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.840880569] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.845417439] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.853582003] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.861719563] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.863408887] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528094.869682089] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528094.874119940] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528094.882319511] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.877657617] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.881270310] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528094.886352284] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528094.889840952] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698528094.891685306] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528094.894238795] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528094.898556623] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528094.902100302] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.909758770] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528094.910324878] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.914077597] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528094.918427431] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528094.922354184] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.924146527] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528094.926674011] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.928481358] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528094.932722171] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528094.934034422] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698528094.937449077] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.946780865] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528094.952493960] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528094.956837792] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528094.957159854] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528094.970480407] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528094.975176307] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.975253322] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.976396541] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.981022427] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528094.988364835] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.990203187] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528094.992009533] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698528094.995684237] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.997317550] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528095.002710584] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528095.007783551] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528095.013188581] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528095.015750069] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.015761072] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.020571988] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.021510167] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.030834944] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528095.030991974] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528095.034316607] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528095.040259740] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698528095.045539746] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528095.050589708] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528095.053126192] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528095.053813323] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528095.058453207] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528095.059398387] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528095.063412152] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [environment-3] [INFO] [1698528095.064043272] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.072107809] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.080546417] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.080956495] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.088766984] [robot]: Action: a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528095.095227215] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528095.095448257] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528095.101359383] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528095.105190113] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.105931254] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528095.112488504] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.113400678] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528095.123777655] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528095.123907680] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528095.127884438] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.139095574] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528095.140164778] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528095.145324761] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528095.145530800] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698528095.166726840] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528095.170305522] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528095.173063047] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.175902588] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.176821763] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.183476031] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528095.189366154] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528095.189496178] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698528095.194484129] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.199410068] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528095.208580815] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.218458698] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528095.218560717] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528095.227668453] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528095.229932884] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528095.230004898] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528095.235043858] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.247397212] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.255071675] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.255123684] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.261923980] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.265643689] [robot]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528095.274930459] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698528095.275240518] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.282103826] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528095.283828154] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.288312009] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528095.292580822] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.290068344] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528095.301064439] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [coordinator-2] [INFO] [1698528095.306007381] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528095.308650885] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528095.311437416] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698528095.324946990] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698528095.325491094] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.327169413] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698528095.330335017] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528095.330843114] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528095.338658603] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528095.342563347] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528095.345065824] [nurse]: Action: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698528095.346112023] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528095.351278008] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528095.360696802] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528095.365386696] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528095.369318445] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698528095.373381220] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528095.374274390] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528095.377829067] [nurse]: Doing a_open_door
trials-all-1  | [environment-3] [INFO] [1698528095.383230096] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.383322114] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.388154035] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.389519295] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528095.392735908] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698528095.403470954] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528095.410548302] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528095.414181995] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698528095.427925614] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.435846123] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.436113174] [environment]: Receiving message: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698528095.441000105] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528095.448617557] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698528095.456466052] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.458883513] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528095.464850650] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528095.465110700] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528095.473635324] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528095.473916378] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528095.478982343] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528095.478982343] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528095.491924809] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [environment-3] [INFO] [1698528095.493700148] [environment]: Action: a_open_door
trials-all-1  | [arm-1] [INFO] [1698528095.494955387] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528095.504598224] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528095.506728630] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528095.512920810] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528095.521252398] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528095.528891854] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.538240635] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528095.544012735] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528095.544230777] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528095.558192437] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698528095.569671625] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.579494497] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528095.581062795] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528095.582170006] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.589233352] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528095.596801795] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.611109521] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528095.620184250] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.621097424] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.637253503] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.642021412] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.649220784] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698528095.652963497] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.654506791] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528095.661825185] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.670388817] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528095.678769414] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528095.688967358] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.697314948] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.707732934] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.718507987] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528095.724343099] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528095.728207835] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.749342863] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.763905638] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528095.774881730] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528095.780525805] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528095.787802192] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.789831578] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528095.789844581] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528095.804408356] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528095.809348297] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.810912596] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528095.816415644] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698528095.828646975] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528095.831802576] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528095.840967323] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528095.847322534] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.851563342] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.853220658] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.857700511] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528095.864062724] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528095.870398931] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698528095.871997236] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.881911125] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528095.882614259] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528095.892186083] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528095.898748334] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528095.899098400] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528095.911585780] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528095.917809966] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528095.923508052] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528095.924695278] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528095.927611834] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528095.929585210] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528095.935632362] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528095.939112025] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698528095.942008577] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528095.957716571] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528095.958594738] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528095.967772487] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528095.970164943] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528095.980465906] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528095.984353646] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528095.980768963] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528095.984791730] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528095.991871079] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.001778967] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528096.006643890] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.007416036] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528096.014784433] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528096.016252711] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528096.020707555] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528096.026334621] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528096.034026078] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698528096.036918626] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528096.042759733] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528096.048483818] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528096.050804257] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528096.062020383] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528096.068534617] [robot]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528096.070321956] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.076285085] [robot]: Pick up
trials-all-1  | [environment-3] [INFO] [1698528096.078174443] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.079633720] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528096.088386378] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528096.097170043] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698528096.101076783] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528096.105546630] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528096.120994557] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698528096.130405340] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528096.136291455] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528096.136448485] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528096.141417426] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.153613737] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528096.159045766] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528096.174195637] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528096.180398812] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528096.188284306] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528096.206069676] [coordinator]: action_complete
