 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-46-627779-e16e877ddb68-1
trials-all-1  | [robot-6] [INFO] [1698529924.486972813] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529924.493924869] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529924.497645900] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529924.495291880] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.499768917] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.507599981] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529924.511130010] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.528589152] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529924.533227190] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529924.541724260] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.549246321] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.553672357] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529924.550202329] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.554014360] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.557444388] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.569670488] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529924.580033573] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.587202631] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529924.590963662] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529924.592750677] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529924.595787701] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.605056777] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.608894808] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.612388837] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.618045883] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.622525920] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529924.623331926] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.633373008] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.647756126] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.657312204] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.665059267] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.669523304] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.673360335] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.675612353] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.688472459] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.692214489] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.697877535] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529924.697929536] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529924.707130611] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.715218677] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.718802706] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.725895764] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529924.729774796] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.730560802] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [robot-6] [INFO] [1698529924.741693893] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.750660967] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.757984026] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.762987067] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529924.767325103] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698529924.775136166] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529924.778612195] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529924.775146167] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.778609195] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529924.794324323] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529924.803214396] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.807188428] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.817180510] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.837176673] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529924.849075770] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529924.855551823] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529924.861852875] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529924.886825079] [coordinator]: The time of execution of above program is:2.08632493019104
trials-all-1  | [coordinator-2] [INFO] [1698529924.891702119] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529924.896318156] [coordinator]: ENDSIM
trials-all-1 exited with code 0
