 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-49-32-753643-e9f12074c531-1
trials-all-1  | [arm-1] [INFO] [1698529788.136087331] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.144616445] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529788.149817515] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698529788.150862529] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.157531618] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529788.168629766] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529788.169922783] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529788.172641819] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529788.174132839] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529788.184688980] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.188602032] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529788.186121999] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529788.189909049] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529788.194423110] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.198054158] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529788.215219387] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529788.218538431] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.222330482] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529788.223438497] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529788.226390536] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.227196547] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529788.235526658] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529788.236920676] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698529788.241259734] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529788.245926796] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [robot-6] [INFO] [1698529788.241844742] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.245647793] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.253553898] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.257693953] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529788.266771074] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529788.270896129] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529788.275064185] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529788.282701287] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.286585339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.287810355] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529788.294539445] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.299561512] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529788.302625553] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529788.307702620] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529788.308067625] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529788.311678673] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529788.318135760] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.322673820] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.329380909] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.333443964] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529788.341748074] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698529788.341874076] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.345860129] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529788.354859249] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.359152307] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.363863369] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [robot-6] [INFO] [1698529788.369359443] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529788.373693500] [robot]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.378261561] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.382874623] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.389731714] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.402133880] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.408669967] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529788.411309002] [robot]: Pick up
trials-all-1  | [arm-1] [INFO] [1698529788.425874196] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698529788.426532205] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529788.443062426] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529788.451497538] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529788.453984571] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698529788.469625780] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529788.478117893] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529788.499136174] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529788.506827276] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529788.525981532] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529788.530358590] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529788.553516899] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698529788.558817970] [coordinator]: The time of execution of above program is:1.768688678741455
trials-all-1  | [coordinator-2] [INFO] [1698529788.577473218] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698529788.581903277] [coordinator]: ENDSIM
trials-all-1 exited with code 0
