 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-48-26-691757-400a4af7f733-1
trials-all-1  | [coordinator-2] [INFO] [1698536923.905520349] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536923.917106430] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698536923.919276445] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536923.923406474] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.926990499] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.926386494] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536923.930465523] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536923.935631559] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536923.938238577] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.948487648] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.953743685] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536923.957314709] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536923.962240744] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536923.973363821] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536923.989476933] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536923.989521933] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.996845984] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.998478996] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536924.006277050] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536924.010342078] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536923.999949006] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698536924.007948061] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536924.019977144] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.027710198] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698536924.034413244] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536924.039486279] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.046336327] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536924.051461362] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536924.057591405] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536924.064227451] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.072478508] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698536924.079772558] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.084475591] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536924.100410701] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536924.104659730] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536924.108328756] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536924.119509833] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.126740883] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.130899912] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536924.141345984] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536924.145462012] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536924.142522992] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698536924.154041072] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536924.154690076] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536924.159042106] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536924.167538165] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536924.174199211] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536924.178338240] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536924.182237267] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698536924.186330295] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536924.184500282] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.188197308] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536924.194260350] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [environment-3] [INFO] [1698536924.195045355] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536924.203154412] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.208553449] [robot]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536924.227086577] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.216839506] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536924.229834596] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536924.234164626] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.247557719] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536924.253307758] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536924.257737789] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698536924.262628823] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536924.264752838] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.272587892] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.286531988] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536924.292777031] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698536924.314051179] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.315370188] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536924.315422188] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536924.318065206] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.322310236] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536924.331746301] [coordinator]: Receiving sync message: action_complete,a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536924.334734322] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.336947337] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536924.338421347] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536924.342098373] [coordinator]: plans_actions_current 8 of 11
trials-all-1  | [arm-1] [INFO] [1698536924.349894427] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.357908482] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698536924.360112497] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.366793543] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536924.370431569] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536924.374382596] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536924.376747612] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536924.383301658] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536924.387005683] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536924.383363658] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.387005683] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536924.386057677] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536924.390084705] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.397528756] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536924.398395762] [coordinator]: plans_actions_current 9 of 11
trials-all-1  | [arm-1] [INFO] [1698536924.401443783] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536924.410109843] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.413630867] [robot]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536924.418836903] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536924.422668930] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.425383949] [robot]: wating for arm1 to pick up from robot1
trials-all-1  | [environment-3] [INFO] [1698536924.425414949] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.432541998] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536924.436068023] [robot]: Pick up
trials-all-1  | [robot-6] [INFO] [1698536924.441216058] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536924.442214065] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.455700158] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698536924.459357184] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536924.460191189] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536924.468775249] [robot]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.472516275] [robot]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536924.476201300] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536924.485752366] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536924.485379364] [coordinator]: Receiving sync message: action_complete,a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536924.500508468] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536924.512679553] [coordinator]: plans_actions_current 10 of 11
trials-all-1  | [robot-6] [INFO] [1698536924.526309647] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536924.531845685] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536924.538598732] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536924.544730774] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536924.546202784] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536924.560499883] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536924.567827934] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536924.575881990] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536924.583862045] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536924.584270048] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536924.595309124] [coordinator]: plans_actions_current 11 of 11
trials-all-1  | [coordinator-2] [INFO] [1698536924.599415152] [coordinator]: The time of execution of above program is:2.0189919471740723
trials-all-1  | [coordinator-2] [INFO] [1698536924.602990177] [coordinator]: Achieved
trials-all-1  | [coordinator-2] [INFO] [1698536924.617280276] [coordinator]: ENDSIM
trials-all-1 exited with code 0
